player_id,player_name,position,recent_team,wk1_opp,wk1_points,wk1_vorp,matchup_mult,base_pg,projected_season_points,wk1_overall_rank,wk1_pos_rank,overall_rank
SLP-13663,Wesley Grimes,WR,SF,LA,3.61,-8.91,1.12,3.2235294117647055,54.8,583,183,685
00-0039747,Ainias Smith,WR,CAR,CHI,3.61,-8.91,1.12,3.2235294117647055,54.8,584,174,616
SLP-13889,Levi Wentz,WR,PIT,ATL,3.61,-8.91,1.12,3.2235294117647055,54.8,585,185,707
WET055619,Kaden Wetjen,WR,PIT,ATL,3.61,-8.91,1.12,3.2235294117647055,54.8,586,187,733
SLP-14034,Brock Rechsteiner,WR,NO,DET,3.61,-8.91,1.12,3.2235294117647055,54.8,587,186,721
00-0039626,Cole Burgess,WR,PIT,ATL,3.61,-8.91,1.12,3.2235294117647055,54.8,588,173,613
00-0035359,David Sills,WR,TB,CIN,3.6,-8.92,0.88,4.088235294117647,69.5,589,188,549
00-0040782,Isaiah Bond,WR,CLE,JAX,3.57,-8.95,0.9795925898590302,3.6470588235294117,62.0,590,189,567
00-0039824,Jared Wiley,TE,KC,DEN,1.01,-8.97,1.12,0.9,15.3,591,196,569
00-0037828,Danny Gray,WR,PHI,WAS,3.55,-8.97,1.102516596179278,3.2235294117647055,54.8,592,191,599
00-0039236,Johnny Wilson,WR,PHI,WAS,3.55,-8.97,1.102516596179278,3.2235294117647055,54.8,593,192,604
00-0036271,Quez Watkins,WR,PHI,WAS,3.55,-8.97,1.102516596179278,3.2235294117647055,54.8,594,190,588
00-0034798,Durham Smythe,TE,BAL,IND,1.0,-8.98,1.0146926965188348,0.9882352941176471,16.8,595,197,566
00-0038579,Aidan O'Connell,QB,LV,MIA,9.2,-8.98,1.0441238417188003,8.811764705882354,149.8,596,48,576
00-0038465,Malik Heath,WR,ATL,PIT,3.53,-8.99,1.0074913277732673,3.5058823529411764,59.6,597,193,573
00-0040405,Jamaal Pritchett,WR,NYJ,TEN,3.53,-8.99,1.0943461694577925,3.2235294117647055,54.8,598,195,637
SLP-13826,Caullin Lacy,WR,NYJ,TEN,3.53,-8.99,1.0943461694577925,3.2235294117647055,54.8,599,197,701
00-0040086,Mac Dalena,WR,NYJ,TEN,3.53,-8.99,1.0943461694577925,3.2235294117647055,54.8,600,194,621
SLP-13825,Malik McClain,WR,NYJ,TEN,3.53,-8.99,1.0943461694577925,3.2235294117647055,54.8,601,196,700
00-0039746,Will Shipley,RB,PHI,WAS,3.62,-9.0,1.12,3.235294117647059,55.0,602,110,585
00-0039451,Isaiah Williams,WR,NYJ,TEN,3.48,-9.04,1.0943461694577925,3.176470588235294,54.0,603,198,735
00-0038710,Blake Whiteheart,TE,CLE,JAX,0.93,-9.05,0.9341660261337432,0.9941176470588234,16.9,604,198,565
00-0039437,Cornelius Johnson,WR,BAL,IND,3.46,-9.06,1.0738153535935475,3.2235294117647055,54.8,605,200,610
00-0040099,Xavier Guillory,WR,BAL,IND,3.46,-9.06,1.0738153535935475,3.2235294117647055,54.8,606,201,622
SLP-13850,Octavian Smith,WR,BAL,IND,3.46,-9.06,1.0738153535935475,3.2235294117647055,54.8,607,203,704
00-0039259,Dayton Wade,WR,BAL,IND,3.46,-9.06,1.0738153535935475,3.2235294117647055,54.8,608,199,605
SLP-13849,Cortez Braham,WR,BAL,IND,3.46,-9.06,1.0738153535935475,3.2235294117647055,54.8,609,202,703
BEN601117,Malik Benson,WR,LV,MIA,3.45,-9.07,1.068787398688018,3.2235294117647055,54.8,610,206,654
SLP-13898,Corey Rucker,WR,LV,MIA,3.45,-9.07,1.068787398688018,3.2235294117647055,54.8,611,209,709
SLP-13805,E.J. Williams,WR,LV,MIA,3.45,-9.07,1.068787398688018,3.2235294117647055,54.8,612,208,699
SLP-13410,Chase Roberts,WR,LV,MIA,3.45,-9.07,1.068787398688018,3.2235294117647055,54.8,613,207,673
00-0032208,Phillip Dorsett,WR,LV,MIA,3.45,-9.07,1.068787398688018,3.2235294117647055,54.8,614,204,586
00-0039415,Brenden Rice,WR,LV,MIA,3.45,-9.07,1.068787398688018,3.2235294117647055,54.8,615,205,609
SLP-13783,Raylen Sharpe,WR,IND,BAL,3.44,-9.08,1.0658544249931259,3.2235294117647055,54.8,616,216,698
SLP-13333,Deion Burks,WR,IND,BAL,3.44,-9.08,1.0658544249931259,3.2235294117647055,54.8,617,213,665
00-0040337,Eli Pancol,WR,IND,BAL,3.44,-9.08,1.0658544249931259,3.2235294117647055,54.8,618,210,631
00-0040498,Dontae Fleming,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,619,212,642
SLP-14040,Terrill Davis,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,620,220,724
SLP-14038,Trayvon Rudolph,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,621,219,723
SLP-13619,Marcus Sanders,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,622,214,678
SLP-13621,Dillon Bell,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,623,215,679
SLP-13929,Sahmir Hagans,WR,IND,BAL,3.44,-9.08,1.0658544249931259,3.2235294117647055,54.8,624,218,713
SLP-13890,Michael Briscoe,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,625,217,708
00-0040443,Joaquin Davis,WR,MIN,GB,3.44,-9.08,1.0661672448151154,3.2235294117647055,54.8,626,211,639
00-0031687,Raheem Mostert,RB,LV,MIA,3.48,-9.14,0.9374117301748995,3.711764705882353,63.1,627,111,564
