season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2025,2026-08-18,mfl,season_aggregate,Ja'Marr Chase,CIN,WR,2.74,1.0,90.0,,2824.0
2025,2026-08-18,mfl,season_aggregate,Bijan Robinson,ATL,RB,4.15,1.0,175.0,,2942.0
2025,2026-08-18,mfl,season_aggregate,Jahmyr Gibbs,DET,RB,5.45,1.0,110.0,,2878.0
2025,2026-08-18,mfl,season_aggregate,Saquon Barkley,PHI,RB,5.49,1.0,172.0,,2942.0
2025,2026-08-18,mfl,season_aggregate,Josh Allen,BUF,QB,6.2,1.0,171.0,,2863.0
2025,2026-08-18,mfl,season_aggregate,Ashton Jeanty,LVR,RB,6.3,1.0,444.0,,7080.0
2025,2026-08-18,mfl,season_aggregate,CeeDee Lamb,DAL,WR,8.31,1.0,177.0,,2994.0
2025,2026-08-18,mfl,season_aggregate,Justin Jefferson,MIN,WR,9.14,1.0,176.0,,3016.0
2025,2026-08-18,mfl,season_aggregate,Lamar Jackson,BAL,QB,10.42,1.0,146.0,,2898.0
2025,2026-08-18,mfl,season_aggregate,Derrick Henry,BAL,RB,11.71,1.0,115.0,,3053.0
2025,2026-08-18,mfl,season_aggregate,Christian McCaffrey,SFO,RB,12.19,1.0,180.0,,3141.0
2025,2026-08-18,mfl,season_aggregate,Amon-Ra St. Brown,DET,WR,12.39,1.0,151.0,,2922.0
2025,2026-08-18,mfl,season_aggregate,Joe Burrow,CIN,QB,16.21,1.0,153.0,,2937.0
2025,2026-08-18,mfl,season_aggregate,Puka Nacua,LAR,WR,17.07,1.0,151.0,,2797.0
2025,2026-08-18,mfl,season_aggregate,Jayden Daniels,WAS,QB,17.3,1.0,174.0,,2703.0
2025,2026-08-18,mfl,season_aggregate,Nico Collins,HOU,WR,17.31,1.0,162.0,,2833.0
2025,2026-08-18,mfl,season_aggregate,Malik Nabers,NYG,WR,17.39,1.0,277.0,,2798.0
2025,2026-08-18,mfl,season_aggregate,Omarion Hampton,LAC,RB,17.5,1.0,446.0,,7113.0
2025,2026-08-18,mfl,season_aggregate,Josh Jacobs,GBP,RB,19.16,1.0,93.0,,3152.0
2025,2026-08-18,mfl,season_aggregate,Jonathan Taylor,IND,RB,19.26,1.0,100.0,,3060.0
2025,2026-08-18,mfl,season_aggregate,Jalen Hurts,PHI,QB,19.38,1.0,123.0,,3157.0
2025,2026-08-18,mfl,season_aggregate,De'Von Achane,MIA,RB,21.78,1.0,170.0,,2728.0
2025,2026-08-18,mfl,season_aggregate,Brian Thomas Jr.,JAC,WR,21.94,1.0,144.0,,2595.0
2025,2026-08-18,mfl,season_aggregate,Kyren Williams,LAR,RB,22.05,1.0,152.0,,2927.0
2025,2026-08-18,mfl,season_aggregate,TreVeyon Henderson,NEP,RB,22.4,1.0,449.0,,7093.0
2025,2026-08-18,mfl,season_aggregate,Bucky Irving,TBB,RB,23.41,1.0,187.0,,2637.0
2025,2026-08-18,mfl,season_aggregate,Drake London,ATL,WR,24.94,1.0,139.0,,3167.0
2025,2026-08-18,mfl,season_aggregate,A.J. Brown,PHI,WR,25.43,2.0,169.0,,3219.0
2025,2026-08-18,mfl,season_aggregate,Chase Brown,CIN,RB,25.61,1.0,142.0,,2752.0
2025,2026-08-18,mfl,season_aggregate,Brock Bowers,LVR,TE,26.39,1.0,162.0,,2640.0
