season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2025,2025-09-01,ffc,ppr,Ja'Marr Chase,CIN,WR,1.5,1.0,5.0,0.8,1800.0
2025,2025-09-01,ffc,ppr,Bijan Robinson,ATL,RB,2.1,1.0,5.0,0.8,1240.0
2025,2025-09-01,ffc,ppr,Saquon Barkley,PHI,RB,2.5,1.0,6.0,1.0,661.0
2025,2025-09-01,ffc,ppr,Justin Jefferson,MIN,WR,4.4,2.0,10.0,1.2,1070.0
2025,2025-09-01,ffc,ppr,CeeDee Lamb,DAL,WR,4.9,1.0,10.0,1.5,1378.0
2025,2025-09-01,ffc,ppr,Jahmyr Gibbs,DET,RB,5.1,1.0,10.0,1.6,2583.0
2025,2025-09-01,ffc,ppr,Malik Nabers,NYG,WR,7.5,3.0,14.0,1.7,995.0
2025,2025-09-01,ffc,ppr,Christian McCaffrey,SF,RB,8.0,3.0,14.0,1.9,2001.0
2025,2025-09-01,ffc,ppr,Puka Nacua,LAR,WR,9.7,4.0,17.0,2.1,666.0
2025,2025-09-01,ffc,ppr,Nico Collins,HOU,WR,10.0,5.0,16.0,1.9,1404.0
2025,2025-09-01,ffc,ppr,Amon-Ra St. Brown,DET,WR,10.7,5.0,20.0,2.1,1674.0
2025,2025-09-01,ffc,ppr,Derrick Henry,BAL,RB,11.1,4.0,19.0,2.5,2315.0
2025,2025-09-01,ffc,ppr,Ashton Jeanty,LV,RB,11.7,5.0,19.0,2.4,2026.0
2025,2025-09-01,ffc,ppr,De'Von Achane,MIA,RB,14.1,8.0,23.0,2.3,999.0
2025,2025-09-01,ffc,ppr,Brian Thomas Jr.,JAX,WR,14.7,7.0,23.0,2.9,1540.0
2025,2025-09-01,ffc,ppr,Drake London,ATL,WR,15.4,9.0,23.0,2.5,1469.0
2025,2025-09-01,ffc,ppr,Josh Jacobs,GB,RB,16.6,9.0,27.0,2.8,1360.0
2025,2025-09-01,ffc,ppr,A.J. Brown,PHI,WR,17.9,10.0,28.0,2.8,1073.0
2025,2025-09-01,ffc,ppr,Jonathan Taylor,IND,RB,18.5,11.0,28.0,2.8,1443.0
2025,2025-09-01,ffc,ppr,Bucky Irving,TB,RB,19.5,11.0,30.0,3.2,1804.0
2025,2025-09-01,ffc,ppr,Chase Brown,CIN,RB,20.1,11.0,32.0,3.4,2848.0
2025,2025-09-01,ffc,ppr,Tee Higgins,CIN,WR,21.7,13.0,32.0,3.3,429.0
2025,2025-09-01,ffc,ppr,Lamar Jackson,BAL,QB,22.9,9.0,36.0,5.3,1362.0
2025,2025-09-01,ffc,ppr,Kyren Williams,LAR,RB,23.1,15.0,33.0,2.9,1355.0
2025,2025-09-01,ffc,ppr,Ladd McConkey,LAC,WR,23.4,14.0,38.0,3.5,1312.0
2025,2025-09-01,ffc,ppr,Josh Allen,BUF,QB,24.7,11.0,42.0,5.0,1528.0
2025,2025-09-01,ffc,ppr,Tyreek Hill,FA,WR,26.4,16.0,42.0,4.0,912.0
2025,2025-09-01,ffc,ppr,Brock Bowers,LV,TE,27.1,14.0,40.0,5.0,2598.0
2025,2025-09-01,ffc,ppr,Davante Adams,LAR,WR,29.0,18.0,46.0,4.1,505.0
2025,2025-09-01,ffc,ppr,Alvin Kamara,NO,RB,29.7,19.0,42.0,3.8,1014.0
2025,2025-09-01,ffc,ppr,Mike Evans,SF,WR,30.0,19.0,45.0,4.0,1029.0
2025,2025-09-01,ffc,ppr,Joe Burrow,CIN,QB,30.3,18.0,44.0,4.6,839.0
2025,2025-09-01,ffc,ppr,Jayden Daniels,WAS,QB,31.4,19.0,44.0,4.6,1120.0
2025,2025-09-01,ffc,ppr,Trey McBride,ARI,TE,32.6,21.0,44.0,4.2,1603.0
2025,2025-09-01,ffc,ppr,Jaxon Smith-Njigba,SEA,WR,33.0,21.0,48.0,4.4,1866.0
2025,2025-09-01,ffc,ppr,James Cook III,BUF,RB,33.7,20.0,48.0,5.1,2305.0
2025,2025-09-01,ffc,ppr,DK Metcalf,PIT,WR,37.6,25.0,58.0,4.8,935.0
2025,2025-09-01,ffc,ppr,Terry McLaurin,WAS,WR,38.3,23.0,59.0,5.6,1775.0
2025,2025-09-01,ffc,ppr,Jalen Hurts,PHI,QB,38.5,24.0,55.0,5.3,1539.0
2025,2025-09-01,ffc,ppr,Omarion Hampton,LAC,RB,38.6,21.0,56.0,6.5,2937.0
2025,2025-09-01,ffc,ppr,Marvin Harrison Jr.,ARI,WR,39.0,26.0,53.0,4.6,1301.0
2025,2025-09-01,ffc,ppr,Garrett Wilson,NYJ,WR,39.5,25.0,56.0,5.3,920.0
2025,2025-09-01,ffc,ppr,Chuba Hubbard,CAR,RB,40.2,25.0,55.0,5.7,929.0
2025,2025-09-01,ffc,ppr,James Conner,ARI,RB,42.3,28.0,55.0,5.3,791.0
2025,2025-09-01,ffc,ppr,DJ Moore,BUF,WR,43.5,31.0,59.0,4.7,524.0
2025,2025-09-01,ffc,ppr,George Kittle,SF,TE,43.9,28.0,60.0,5.9,1794.0
2025,2025-09-01,ffc,ppr,Kenneth Walker,KC,RB,44.0,28.0,58.0,6.0,1853.0
2025,2025-09-01,ffc,ppr,Courtland Sutton,DEN,WR,47.3,33.0,70.0,5.2,2153.0
2025,2025-09-01,ffc,ppr,Breece Hall,NYJ,RB,47.5,32.0,60.0,5.9,793.0
2025,2025-09-01,ffc,ppr,DeVonta Smith,PHI,WR,48.3,34.0,68.0,5.3,732.0
2025,2025-09-01,ffc,ppr,TreVeyon Henderson,NE,RB,50.3,31.0,71.0,7.2,3033.0
2025,2025-09-01,ffc,ppr,Xavier Worthy,KC,WR,50.9,35.0,70.0,6.1,1067.0
2025,2025-09-01,ffc,ppr,Patrick Mahomes,KC,QB,52.3,33.0,75.0,7.2,733.0
2025,2025-09-01,ffc,ppr,Tetairoa McMillan,CAR,WR,52.3,35.0,74.0,6.4,1892.0
2025,2025-09-01,ffc,ppr,Baker Mayfield,TB,QB,53.3,36.0,70.0,6.9,387.0
2025,2025-09-01,ffc,ppr,Tony Pollard,TEN,RB,56.8,41.0,72.0,6.0,1064.0
2025,2025-09-01,ffc,ppr,D'Andre Swift,CHI,RB,56.8,41.0,75.0,6.0,1258.0
2025,2025-09-01,ffc,ppr,Zay Flowers,BAL,WR,56.8,39.0,83.0,6.6,854.0
2025,2025-09-01,ffc,ppr,Calvin Ridley,TEN,WR,57.1,41.0,85.0,5.9,2151.0
2025,2025-09-01,ffc,ppr,Jerry Jeudy,CLE,WR,58.8,42.0,75.0,6.1,538.0
2025,2025-09-01,ffc,ppr,George Pickens,DAL,WR,59.6,42.0,80.0,6.5,2067.0
2025,2025-09-01,ffc,ppr,David Montgomery,HOU,RB,60.3,42.0,74.0,6.7,565.0
2025,2025-09-01,ffc,ppr,RJ Harvey,DEN,RB,61.9,44.0,77.0,6.7,1142.0
2025,2025-09-01,ffc,ppr,Sam LaPorta,DET,TE,63.0,40.0,86.0,8.9,1005.0
2025,2025-09-01,ffc,ppr,Aaron Jones Sr.,MIN,RB,63.2,48.0,76.0,5.7,452.0
2025,2025-09-01,ffc,ppr,Jameson Williams,DET,WR,63.4,45.0,83.0,6.7,1905.0
2025,2025-09-01,ffc,ppr,Travis Kelce,KC,TE,65.0,40.0,91.0,9.3,589.0
2025,2025-09-01,ffc,ppr,Jaylen Waddle,MIA,WR,65.2,48.0,83.0,6.3,1243.0
2025,2025-09-01,ffc,ppr,Isiah Pacheco,DET,RB,66.8,48.0,87.0,6.9,1834.0
2025,2025-09-01,ffc,ppr,Bo Nix,DEN,QB,66.9,43.0,97.0,9.2,1162.0
2025,2025-09-01,ffc,ppr,Deebo Samuel Sr.,FA,WR,70.4,52.0,91.0,7.0,953.0
2025,2025-09-01,ffc,ppr,Travis Hunter,JAX,WR,70.8,49.0,91.0,8.2,1167.0
2025,2025-09-01,ffc,ppr,Jakobi Meyers,JAX,WR,70.9,51.0,91.0,7.6,611.0
2025,2025-09-01,ffc,ppr,Chris Olave,NO,WR,72.0,51.0,94.0,7.7,687.0
2025,2025-09-01,ffc,ppr,T.J. Hockenson,MIN,TE,73.1,49.0,113.0,9.0,513.0
2025,2025-09-01,ffc,ppr,Tyrone Tracy Jr.,NYG,RB,74.8,57.0,98.0,6.5,689.0
2025,2025-09-01,ffc,ppr,Ricky Pearsall,SF,WR,76.1,52.0,104.0,8.9,2722.0
2025,2025-09-01,ffc,ppr,Jaylen Warren,PIT,RB,76.3,58.0,98.0,6.8,482.0
2025,2025-09-01,ffc,ppr,David Njoku,FA,TE,76.6,53.0,120.0,8.8,298.0
2025,2025-09-01,ffc,ppr,Stefon Diggs,FA,WR,77.3,57.0,103.0,7.8,1395.0
2025,2025-09-01,ffc,ppr,Brock Purdy,SF,QB,77.5,50.0,109.0,10.4,301.0
2025,2025-09-01,ffc,ppr,Matthew Golden,GB,WR,78.2,58.0,99.0,7.8,1708.0
2025,2025-09-01,ffc,ppr,Kaleb Johnson,PIT,RB,79.2,59.0,102.0,7.5,714.0
2025,2025-09-01,ffc,ppr,Rome Odunze,CHI,WR,80.3,59.0,100.0,8.0,1370.0
2025,2025-09-01,ffc,ppr,Rashee Rice,KC,WR,82.5,54.0,109.0,10.9,1657.0
2025,2025-09-01,ffc,ppr,Jauan Jennings,FA,WR,83.5,62.0,101.0,8.2,293.0
2025,2025-09-01,ffc,ppr,Emeka Egbuka,TB,WR,84.2,61.0,120.0,8.9,3006.0
2025,2025-09-01,ffc,ppr,Austin Ekeler,FA,RB,84.3,64.0,108.0,7.8,547.0
2025,2025-09-01,ffc,ppr,Dak Prescott,DAL,QB,84.7,54.0,115.0,11.6,1459.0
2025,2025-09-01,ffc,ppr,Khalil Shakir,BUF,WR,85.1,62.0,106.0,8.9,449.0
2025,2025-09-01,ffc,ppr,Kyler Murray,MIN,QB,86.0,57.0,112.0,11.1,726.0
2025,2025-09-01,ffc,ppr,Mark Andrews,BAL,TE,87.2,57.0,139.0,11.6,528.0
2025,2025-09-01,ffc,ppr,Michael Pittman Jr.,PIT,WR,87.2,67.0,103.0,7.6,347.0
2025,2025-09-01,ffc,ppr,Cooper Kupp,SEA,WR,92.0,68.0,114.0,9.0,745.0
2025,2025-09-01,ffc,ppr,Dallas Defense,DAL,DST,92.5,51.0,125.0,15.8,62.0
2025,2025-09-01,ffc,ppr,Josh Downs,IND,WR,93.4,75.0,118.0,6.8,222.0
2025,2025-09-01,ffc,ppr,Evan Engram,DEN,TE,93.5,57.0,148.0,13.8,1111.0
2025,2025-09-01,ffc,ppr,J.K. Dobbins,DEN,RB,94.0,65.0,121.0,11.0,1050.0
2025,2025-09-01,ffc,ppr,Jared Goff,DET,QB,97.8,65.0,143.0,12.6,881.0
2025,2025-09-01,ffc,ppr,NY Giants Defense,NYG,DST,98.7,66.0,121.0,12.3,78.0
2025,2025-09-01,ffc,ppr,Jordan Addison,MIN,WR,98.8,77.0,123.0,8.1,772.0
2025,2025-09-01,ffc,ppr,Zach Charbonnet,SEA,RB,99.4,67.0,142.0,12.4,1860.0
2025,2025-09-01,ffc,ppr,Chris Godwin Jr.,TB,WR,99.8,75.0,128.0,9.2,649.0
2025,2025-09-01,ffc,ppr,Keon Coleman,BUF,WR,101.2,79.0,142.0,8.5,954.0
2025,2025-09-01,ffc,ppr,Travis Etienne Jr.,NO,RB,101.2,64.0,146.0,14.0,1394.0
2025,2025-09-01,ffc,ppr,Caleb Williams,CHI,QB,102.3,74.0,149.0,10.9,621.0
2025,2025-09-01,ffc,ppr,Jayden Reed,GB,WR,103.6,80.0,127.0,9.1,270.0
2025,2025-09-01,ffc,ppr,Jordan Mason,MIN,RB,104.9,66.0,145.0,14.6,2369.0
2025,2025-09-01,ffc,ppr,Darnell Mooney,NYG,WR,105.9,83.0,133.0,8.7,282.0
2025,2025-09-01,ffc,ppr,Rashid Shaheed,SEA,WR,106.0,82.0,127.0,9.1,177.0
2025,2025-09-01,ffc,ppr,Denver Defense,DEN,DST,106.1,80.0,136.0,9.7,709.0
2025,2025-09-01,ffc,ppr,Tyler Warren,IND,TE,106.2,64.0,155.0,16.2,2224.0
2025,2025-09-01,ffc,ppr,J.J. McCarthy,MIN,QB,107.1,78.0,139.0,10.9,436.0
2025,2025-09-01,ffc,ppr,Jacory Croskey-Merritt,WAS,RB,107.5,66.0,148.0,15.8,2744.0
2025,2025-09-01,ffc,ppr,Justin Herbert,LAC,QB,110.1,77.0,148.0,12.6,475.0
2025,2025-09-01,ffc,ppr,Justin Fields,KC,QB,110.4,82.0,147.0,10.6,591.0
2025,2025-09-01,ffc,ppr,Drake Maye,NE,QB,110.4,82.0,150.0,10.7,841.0
2025,2025-09-01,ffc,ppr,Joe Mixon,FA,RB,113.3,54.0,179.0,22.7,826.0
2025,2025-09-01,ffc,ppr,Tucker Kraft,GB,TE,113.9,69.0,158.0,17.2,915.0
2025,2025-09-01,ffc,ppr,Pittsburgh Defense,PIT,DST,114.6,86.0,162.0,10.7,321.0
2025,2025-09-01,ffc,ppr,Javonte Williams,DAL,RB,116.3,76.0,149.0,15.4,1081.0
2025,2025-09-01,ffc,ppr,Keenan Allen,FA,WR,116.5,90.0,148.0,9.9,779.0
2025,2025-09-01,ffc,ppr,Philadelphia Defense,PHI,DST,116.6,87.0,161.0,11.3,467.0
2025,2025-09-01,ffc,ppr,Baltimore Defense,BAL,DST,118.0,86.0,160.0,12.3,375.0
2025,2025-09-01,ffc,ppr,Jake Ferguson,DAL,TE,118.4,74.0,168.0,16.8,631.0
2025,2025-09-01,ffc,ppr,Rhamondre Stevenson,NE,RB,119.7,80.0,147.0,15.1,533.0
2025,2025-09-01,ffc,ppr,Christian Kirk,SF,WR,121.0,95.0,150.0,10.4,540.0
2025,2025-09-01,ffc,ppr,Trevor Lawrence,JAX,QB,121.1,95.0,149.0,10.0,320.0
2025,2025-09-01,ffc,ppr,Cedric Tillman,CLE,WR,121.1,95.0,146.0,9.9,274.0
2025,2025-09-01,ffc,ppr,Jordan Love,GB,QB,122.3,89.0,150.0,12.4,751.0
2025,2025-09-01,ffc,ppr,Quinshon Judkins,CLE,RB,125.4,84.0,172.0,15.6,443.0
2025,2025-09-01,ffc,ppr,Marvin Mims Jr.,DEN,WR,125.9,98.0,150.0,10.7,685.0
2025,2025-09-01,ffc,ppr,Wan'Dale Robinson,TEN,WR,127.2,98.0,150.0,11.2,128.0
2025,2025-09-01,ffc,ppr,Hollywood Brown,FA,WR,127.9,101.0,150.0,10.2,244.0
2025,2025-09-01,ffc,ppr,Buffalo Defense,BUF,DST,128.3,86.0,177.0,16.1,184.0
2025,2025-09-01,ffc,ppr,Cam Skattebo,NYG,RB,129.2,87.0,167.0,16.0,777.0
2025,2025-09-01,ffc,ppr,C.J. Stroud,HOU,QB,129.4,94.0,178.0,13.2,831.0
2025,2025-09-01,ffc,ppr,Jayden Higgins,HOU,WR,129.8,100.0,150.0,11.3,395.0
2025,2025-09-01,ffc,ppr,Brandon Aubrey,DAL,K,130.1,70.0,186.0,23.0,1575.0
2025,2025-09-01,ffc,ppr,Jerome Ford,WAS,RB,130.8,85.0,171.0,17.4,283.0
2025,2025-09-01,ffc,ppr,Dallas Goedert,PHI,TE,131.1,85.0,168.0,17.7,361.0
2025,2025-09-01,ffc,ppr,Adam Thielen,FA,WR,131.3,86.0,180.0,20.1,292.0
2025,2025-09-01,ffc,ppr,Romeo Doubs,NE,WR,132.5,71.0,157.0,23.5,125.0
2025,2025-09-01,ffc,ppr,Rashod Bateman,BAL,WR,133.2,105.0,153.0,10.9,212.0
2025,2025-09-01,ffc,ppr,Tank Bigsby,PHI,RB,134.3,91.0,176.0,16.4,709.0
2025,2025-09-01,ffc,ppr,Nick Chubb,FA,RB,136.1,76.0,191.0,22.9,919.0
2025,2025-09-01,ffc,ppr,Houston Defense,HOU,DST,137.1,93.0,189.0,16.6,541.0
2025,2025-09-01,ffc,ppr,Dalton Kincaid,BUF,TE,137.5,90.0,178.0,18.0,582.0
2025,2025-09-01,ffc,ppr,Rachaad White,WAS,RB,138.4,94.0,171.0,17.0,185.0
2025,2025-09-01,ffc,ppr,Tua Tagovailoa,ATL,QB,138.5,108.0,181.0,11.4,193.0
2025,2025-09-01,ffc,ppr,Tyjae Spears,TEN,RB,139.0,92.0,194.0,22.4,105.0
2025,2025-09-01,ffc,ppr,Matt Gay,LV,K,140.5,94.0,184.0,17.5,118.0
2025,2025-09-01,ffc,ppr,Joshua Palmer,BUF,WR,140.6,101.0,175.0,14.9,208.0
2025,2025-09-01,ffc,ppr,Xavier Legette,CAR,WR,140.7,109.0,170.0,12.0,171.0
2025,2025-09-01,ffc,ppr,Colston Loveland,CHI,TE,141.2,90.0,187.0,19.7,829.0
2025,2025-09-01,ffc,ppr,Tyler Bass,BUF,K,141.9,85.0,187.0,21.8,132.0
2025,2025-09-01,ffc,ppr,Trey Benson,ARI,RB,142.2,96.0,180.0,17.6,397.0
2025,2025-09-01,ffc,ppr,Kyle Pitts Sr.,ATL,TE,142.3,85.0,197.0,23.3,448.0
2025,2025-09-01,ffc,ppr,DeMario Douglas,NE,WR,142.7,111.0,179.0,11.9,215.0
2025,2025-09-01,ffc,ppr,Jaydon Blue,DAL,RB,144.0,95.0,180.0,18.9,497.0
2025,2025-09-01,ffc,ppr,Jake Bates,DET,K,145.0,98.0,189.0,18.7,276.0
2025,2025-09-01,ffc,ppr,Harrison Butker,KC,K,145.3,91.0,191.0,20.6,185.0
2025,2025-09-01,ffc,ppr,Green Bay Defense,GB,DST,145.6,91.0,209.0,21.0,425.0
2025,2025-09-01,ffc,ppr,Minnesota Defense,MIN,DST,146.0,98.0,199.0,18.3,638.0
2025,2025-09-01,ffc,ppr,Brandon Aiyuk,SF,WR,146.1,100.0,180.0,17.4,614.0
2025,2025-09-01,ffc,ppr,Detroit Defense,DET,DST,146.1,104.0,195.0,16.1,401.0
2025,2025-09-01,ffc,ppr,Dylan Sampson,CLE,RB,146.4,92.0,204.0,20.7,208.0
2025,2025-09-01,ffc,ppr,Chase McLaughlin,TB,K,146.9,96.0,192.0,19.5,184.0
2025,2025-09-01,ffc,ppr,Cameron Dicker,LAC,K,147.8,108.0,191.0,17.9,318.0
2025,2025-09-01,ffc,ppr,Chris Rodriguez Jr.,JAX,RB,148.0,88.0,173.0,26.0,14.0
2025,2025-09-01,ffc,ppr,Braelon Allen,NYJ,RB,148.0,95.0,204.0,20.4,569.0
2025,2025-09-01,ffc,ppr,Jake Elliott,PHI,K,149.0,90.0,192.0,22.6,118.0
2025,2025-09-01,ffc,ppr,Brian Robinson,FA,RB,149.0,67.0,210.0,31.5,190.0
2025,2025-09-01,ffc,ppr,NY Jets Defense,NYJ,DST,149.2,121.0,180.0,20.1,30.0
2025,2025-09-01,ffc,ppr,Geno Smith,NYJ,QB,149.6,112.0,180.0,14.4,139.0
2025,2025-09-01,ffc,ppr,Matthew Stafford,LAR,QB,149.7,103.0,181.0,17.7,235.0
2025,2025-09-01,ffc,ppr,Zach Ertz,FA,TE,149.8,92.0,180.0,22.1,203.0
2025,2025-09-01,ffc,ppr,Dont'e Thornton Jr.,LV,WR,150.1,100.0,199.0,19.1,106.0
2025,2025-09-01,ffc,ppr,Isaiah Likely,NYG,TE,150.2,54.0,197.0,36.9,23.0
2025,2025-09-01,ffc,ppr,Hunter Henry,NE,TE,150.2,93.0,194.0,21.9,100.0
2025,2025-09-01,ffc,ppr,Luther Burden III,CHI,WR,150.7,108.0,180.0,16.2,275.0
2025,2025-09-01,ffc,ppr,Will Shipley,PHI,RB,151.2,82.0,183.0,26.3,23.0
2025,2025-09-01,ffc,ppr,Mason Taylor,NYJ,TE,151.9,113.0,177.0,18.5,10.0
2025,2025-09-01,ffc,ppr,Jalen Coker,CAR,WR,152.0,115.0,180.0,15.8,74.0
2025,2025-09-01,ffc,ppr,Michael Wilson,ARI,WR,152.3,98.0,176.0,20.7,15.0
2025,2025-09-01,ffc,ppr,LA Rams Defense,LAR,DST,152.3,116.0,206.0,17.3,230.0
2025,2025-09-01,ffc,ppr,Bhayshul Tuten,JAX,RB,152.7,95.0,209.0,22.1,151.0
2025,2025-09-01,ffc,ppr,Ollie Gordon II,MIA,RB,152.9,88.0,210.0,25.8,239.0
2025,2025-09-01,ffc,ppr,Jonnu Smith,FA,TE,152.9,109.0,207.0,21.9,53.0
2025,2025-09-01,ffc,ppr,Michael Penix Jr.,ATL,QB,153.2,111.0,189.0,16.1,299.0
2025,2025-09-01,ffc,ppr,Bryce Young,CAR,QB,153.3,113.0,180.0,15.2,154.0
2025,2025-09-01,ffc,ppr,Tory Horton,SEA,WR,153.6,116.0,180.0,14.4,57.0
2025,2025-09-01,ffc,ppr,Najee Harris,FA,RB,153.9,100.0,203.0,20.6,260.0
2025,2025-09-01,ffc,ppr,Tyler Allgeier,ARI,RB,154.5,98.0,200.0,21.6,120.0
2025,2025-09-01,ffc,ppr,Evan McPherson,CIN,K,154.6,114.0,210.0,16.3,244.0
2025,2025-09-01,ffc,ppr,Chig Okonkwo,WAS,TE,154.7,95.0,199.0,22.6,60.0
2025,2025-09-01,ffc,ppr,Tampa Bay Defense,TB,DST,154.9,95.0,206.0,25.6,36.0
2025,2025-09-01,ffc,ppr,Chicago Defense,CHI,DST,155.1,110.0,195.0,17.3,198.0
2025,2025-09-01,ffc,ppr,Tre' Harris,LAC,WR,155.4,121.0,179.0,15.1,89.0
2025,2025-09-01,ffc,ppr,Ray Davis,BUF,RB,155.9,111.0,206.0,18.6,150.0
2025,2025-09-01,ffc,ppr,Cleveland Defense,CLE,DST,155.9,113.0,202.0,25.1,17.0
2025,2025-09-01,ffc,ppr,Isaac TeSlaa,DET,WR,156.7,116.0,204.0,24.0,37.0
2025,2025-09-01,ffc,ppr,Kyle Monangai,CHI,RB,156.8,124.0,180.0,19.6,12.0
2025,2025-09-01,ffc,ppr,San Francisco Defense,SF,DST,156.9,104.0,210.0,20.0,293.0
2025,2025-09-01,ffc,ppr,Arizona Defense,ARI,DST,157.1,107.0,209.0,19.8,94.0
2025,2025-09-01,ffc,ppr,Woody Marks,HOU,RB,157.3,117.0,210.0,22.1,33.0
2025,2025-09-01,ffc,ppr,Troy Franklin,DEN,WR,157.7,117.0,195.0,22.5,23.0
2025,2025-09-01,ffc,ppr,Cam Little,JAX,K,157.9,101.0,209.0,21.5,115.0
2025,2025-09-01,ffc,ppr,New England Defense,NE,DST,158.4,125.0,179.0,15.6,32.0
2025,2025-09-01,ffc,ppr,Amari Cooper,FA,WR,159.4,103.0,210.0,24.7,117.0
2025,2025-09-01,ffc,ppr,Washington Defense,WAS,DST,159.5,118.0,210.0,23.2,44.0
2025,2025-09-01,ffc,ppr,Cam Ward,TEN,QB,159.8,107.0,208.0,21.0,99.0
2025,2025-09-01,ffc,ppr,Tyler Loop,BAL,K,159.8,111.0,209.0,18.5,197.0
2025,2025-09-01,ffc,ppr,Brenton Strange,JAX,TE,161.3,111.0,206.0,23.5,62.0
2025,2025-09-01,ffc,ppr,Chris Boswell,PIT,K,161.6,111.0,209.0,20.2,118.0
2025,2025-09-01,ffc,ppr,LA Chargers Defense,LAC,DST,162.3,119.0,210.0,22.7,24.0
2025,2025-09-01,ffc,ppr,Quentin Johnston,LAC,WR,162.8,92.0,200.0,26.9,30.0
2025,2025-09-01,ffc,ppr,Ka'imi Fairbairn,HOU,K,163.0,120.0,206.0,16.4,254.0
2025,2025-09-01,ffc,ppr,Tyler Lockett,FA,WR,163.5,124.0,206.0,15.0,55.0
2025,2025-09-01,ffc,ppr,Aaron Rodgers,FA,QB,163.6,91.0,210.0,27.8,28.0
2025,2025-09-01,ffc,ppr,Kansas City Defense,KC,DST,163.6,125.0,210.0,19.3,168.0
2025,2025-09-01,ffc,ppr,Seattle Defense,SEA,DST,164.2,111.0,206.0,20.7,95.0
2025,2025-09-01,ffc,ppr,Brandon McManus,GB,K,164.3,99.0,209.0,25.1,88.0
2025,2025-09-01,ffc,ppr,Jaxson Dart,NYG,QB,165.1,78.0,205.0,33.4,14.0
2025,2025-09-01,ffc,ppr,Kyle Williams,NE,WR,165.5,130.0,206.0,18.8,36.0
2025,2025-09-01,ffc,ppr,Darius Slayton,NYG,WR,165.9,125.0,183.0,15.5,20.0
2025,2025-09-01,ffc,ppr,Younghoe Koo,FA,K,166.1,128.0,203.0,16.4,166.0
2025,2025-09-01,ffc,ppr,Andrei Iosivas,CIN,WR,166.3,145.0,173.0,10.1,15.0
2025,2025-09-01,ffc,ppr,Joshua Karty,ARI,K,166.5,145.0,202.0,11.3,15.0
2025,2025-09-01,ffc,ppr,DeAndre Hopkins,FA,WR,166.5,114.0,210.0,22.0,51.0
2025,2025-09-01,ffc,ppr,Sam Darnold,SEA,QB,166.7,107.0,204.0,22.9,56.0
2025,2025-09-01,ffc,ppr,Mike Gesicki,CIN,TE,166.7,103.0,208.0,34.2,10.0
2025,2025-09-01,ffc,ppr,Wil Lutz,DEN,K,166.9,113.0,210.0,20.3,160.0
2025,2025-09-01,ffc,ppr,Pat Bryant,DEN,WR,167.2,121.0,206.0,28.0,11.0
2025,2025-09-01,ffc,ppr,Justice Hill,BAL,RB,167.3,114.0,210.0,29.0,28.0
2025,2025-09-01,ffc,ppr,Calvin Austin III,NYG,WR,167.7,146.0,183.0,10.1,15.0
2025,2025-09-01,ffc,ppr,Ray-Ray McCloud III,FA,WR,167.8,121.0,202.0,24.3,11.0
2025,2025-09-01,ffc,ppr,Darren Waller,FA,TE,168.4,131.0,204.0,21.5,17.0
2025,2025-09-01,ffc,ppr,Cade Otton,TB,TE,168.4,116.0,200.0,20.0,30.0
2025,2025-09-01,ffc,ppr,Will Reichard,MIN,K,168.5,141.0,204.0,16.8,60.0
2025,2025-09-01,ffc,ppr,Jack Bech,LV,WR,170.0,147.0,194.0,12.9,23.0
2025,2025-09-01,ffc,ppr,Jake Moody,WAS,K,170.3,143.0,206.0,16.8,26.0
2025,2025-09-01,ffc,ppr,Rico Dowdle,PIT,RB,171.1,144.0,202.0,21.1,13.0
2025,2025-09-01,ffc,ppr,Daniel Carlson,FA,K,171.1,141.0,191.0,11.3,44.0
2025,2025-09-01,ffc,ppr,Jaylen Wright,MIA,RB,171.8,134.0,210.0,22.8,14.0
2025,2025-09-01,ffc,ppr,Alec Pierce,IND,WR,173.1,141.0,204.0,18.7,16.0
2025,2025-09-01,ffc,ppr,Kareem Hunt,FA,RB,173.8,129.0,206.0,17.1,28.0
2025,2025-09-01,ffc,ppr,Keaton Mitchell,LAC,RB,174.3,127.0,210.0,20.1,19.0
2025,2025-09-01,ffc,ppr,Elic Ayomanor,TEN,WR,177.0,152.0,210.0,17.2,10.0
