season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2024,2026-08-18,mfl,season_aggregate,Christian McCaffrey,SFO,RB,2.83,1.0,242.0,,7572.0
2024,2026-08-18,mfl,season_aggregate,CeeDee Lamb,DAL,WR,4.94,1.0,231.0,,7812.0
2024,2026-08-18,mfl,season_aggregate,Tyreek Hill,MIA,WR,5.46,1.0,221.0,,7690.0
2024,2026-08-18,mfl,season_aggregate,Bijan Robinson,ATL,RB,6.59,1.0,197.0,,7786.0
2024,2026-08-18,mfl,season_aggregate,Breece Hall,NYJ,RB,7.24,1.0,203.0,,7600.0
2024,2026-08-18,mfl,season_aggregate,Amon-Ra St. Brown,DET,WR,7.79,1.0,230.0,,8898.0
2024,2026-08-18,mfl,season_aggregate,Ja'Marr Chase,CIN,WR,9.12,1.0,237.0,,7875.0
2024,2026-08-18,mfl,season_aggregate,Justin Jefferson,MIN,WR,9.22,1.0,241.0,,9145.0
2024,2026-08-18,mfl,season_aggregate,Saquon Barkley,PHI,RB,12.29,1.0,321.0,,9742.0
2024,2026-08-18,mfl,season_aggregate,A.J. Brown,PHI,WR,12.55,1.0,323.0,,9294.0
2024,2026-08-18,mfl,season_aggregate,Jonathan Taylor,IND,RB,12.76,1.0,229.0,,7795.0
2024,2026-08-18,mfl,season_aggregate,Marvin Harrison Jr.,ARI,WR,13.43,1.0,661.0,,14444.0
2024,2026-08-18,mfl,season_aggregate,Jahmyr Gibbs,DET,RB,13.8,1.0,212.0,,9445.0
2024,2026-08-18,mfl,season_aggregate,Josh Allen,BUF,QB,16.1,1.0,281.0,,8969.0
2024,2026-08-18,mfl,season_aggregate,Garrett Wilson,NYJ,WR,16.95,1.0,256.0,,8005.0
2024,2026-08-18,mfl,season_aggregate,Puka Nacua,LAR,WR,19.14,1.0,285.0,,8984.0
2024,2026-08-18,mfl,season_aggregate,Derrick Henry,BAL,RB,20.05,1.0,208.0,,9927.0
2024,2026-08-18,mfl,season_aggregate,Travis Etienne,JAC,RB,20.64,1.0,195.0,,8107.0
2024,2026-08-18,mfl,season_aggregate,Patrick Mahomes,KCC,QB,21.79,1.0,282.0,,9183.0
