season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2022,2022-09-04,ffc,ppr,Jonathan Taylor,IND,RB,1.3,1.0,4.0,0.6,368.0
2022,2022-09-04,ffc,ppr,Christian McCaffrey,SF,RB,2.4,1.0,5.0,0.9,336.0
2022,2022-09-04,ffc,ppr,Austin Ekeler,LAC,RB,2.7,1.0,7.0,0.9,119.0
2022,2022-09-04,ffc,ppr,Derrick Henry,TEN,RB,4.3,1.0,9.0,1.4,277.0
2022,2022-09-04,ffc,ppr,Justin Jefferson,MIN,WR,4.6,1.0,9.0,1.4,480.0
2022,2022-09-04,ffc,ppr,Cooper Kupp,LAR,WR,5.7,1.0,12.0,1.8,391.0
2022,2022-09-04,ffc,ppr,Najee Harris,PIT,RB,7.1,2.0,14.0,2.1,253.0
2022,2022-09-04,ffc,ppr,Dalvin Cook,MIN,RB,7.5,3.0,13.0,1.7,452.0
2022,2022-09-04,ffc,ppr,Ja'Marr Chase,CIN,WR,8.7,3.0,15.0,1.8,408.0
2022,2022-09-04,ffc,ppr,Joe Mixon,CIN,RB,10.1,5.0,16.0,1.8,288.0
2022,2022-09-04,ffc,ppr,Alvin Kamara,NO,RB,10.9,5.0,17.0,2.0,340.0
2022,2022-09-04,ffc,ppr,Davante Adams,LV,WR,12.0,5.0,19.0,2.5,278.0
2022,2022-09-04,ffc,ppr,D'Andre Swift,DET,RB,12.8,6.0,19.0,2.4,370.0
2022,2022-09-04,ffc,ppr,Stefon Diggs,BUF,WR,13.6,8.0,19.0,2.0,388.0
2022,2022-09-04,ffc,ppr,Aaron Jones Sr.,GB,RB,14.9,8.0,22.0,2.4,330.0
2022,2022-09-04,ffc,ppr,Saquon Barkley,NYG,RB,15.5,9.0,23.0,2.3,422.0
2022,2022-09-04,ffc,ppr,Travis Kelce,KC,TE,16.5,8.0,24.0,3.2,290.0
2022,2022-09-04,ffc,ppr,CeeDee Lamb,DAL,WR,17.5,10.0,25.0,2.6,314.0
2022,2022-09-04,ffc,ppr,Nick Chubb,CLE,RB,18.8,11.0,26.0,2.9,294.0
2022,2022-09-04,ffc,ppr,Deebo Samuel Sr.,SF,WR,19.6,12.0,29.0,2.9,297.0
2022,2022-09-04,ffc,ppr,Javonte Williams,DEN,RB,20.2,11.0,28.0,3.3,379.0
2022,2022-09-04,ffc,ppr,Josh Allen,BUF,QB,20.4,6.0,31.0,5.3,175.0
2022,2022-09-04,ffc,ppr,Leonard Fournette,TB,RB,21.9,13.0,33.0,3.0,380.0
2022,2022-09-04,ffc,ppr,Tyreek Hill,MIA,WR,22.7,13.0,32.0,3.4,414.0
2022,2022-09-04,ffc,ppr,Michael Pittman Jr.,IND,WR,24.9,16.0,33.0,3.2,325.0
2022,2022-09-04,ffc,ppr,Mark Andrews,BAL,TE,25.5,15.0,37.0,3.8,388.0
2022,2022-09-04,ffc,ppr,Mike Evans,TB,WR,26.5,18.0,34.0,3.2,249.0
2022,2022-09-04,ffc,ppr,Ezekiel Elliott,DAL,RB,27.7,18.0,39.0,3.7,271.0
2022,2022-09-04,ffc,ppr,James Conner,ARI,RB,28.4,19.0,39.0,3.3,375.0
2022,2022-09-04,ffc,ppr,Keenan Allen,LAC,WR,29.5,21.0,40.0,3.3,363.0
2022,2022-09-04,ffc,ppr,A.J. Brown,PHI,WR,30.4,21.0,39.0,3.6,386.0
2022,2022-09-04,ffc,ppr,Kyle Pitts Sr.,ATL,TE,31.2,20.0,42.0,4.1,444.0
2022,2022-09-04,ffc,ppr,Tee Higgins,CIN,WR,32.5,24.0,42.0,3.5,235.0
2022,2022-09-04,ffc,ppr,Cam Akers,LAR,RB,33.1,21.0,45.0,4.6,242.0
2022,2022-09-04,ffc,ppr,Justin Herbert,LAC,QB,33.2,22.0,48.0,4.3,237.0
2022,2022-09-04,ffc,ppr,Travis Etienne Jr.,JAX,RB,33.6,23.0,48.0,4.1,504.0
2022,2022-09-04,ffc,ppr,DJ Moore,CAR,WR,35.9,27.0,46.0,3.1,395.0
2022,2022-09-04,ffc,ppr,Terry McLaurin,WAS,WR,38.0,28.0,48.0,3.6,172.0
2022,2022-09-04,ffc,ppr,Patrick Mahomes,KC,QB,38.3,18.0,53.0,7.7,259.0
2022,2022-09-04,ffc,ppr,J.K. Dobbins,BAL,RB,38.8,29.0,52.0,3.9,148.0
2022,2022-09-04,ffc,ppr,David Montgomery,CHI,RB,39.3,27.0,59.0,4.7,268.0
2022,2022-09-04,ffc,ppr,Mike Williams,LAC,WR,39.6,29.0,50.0,4.0,469.0
2022,2022-09-04,ffc,ppr,Elijah Mitchell,SF,RB,42.4,28.0,57.0,5.2,260.0
2022,2022-09-04,ffc,ppr,Diontae Johnson,PIT,WR,43.4,32.0,56.0,4.3,220.0
2022,2022-09-04,ffc,ppr,George Kittle,SF,TE,44.2,30.0,59.0,5.4,272.0
2022,2022-09-04,ffc,ppr,Breece Hall,NYJ,RB,44.4,32.0,58.0,4.7,260.0
