season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2024,2024-09-01,ffc,standard,Christian McCaffrey,SF,RB,1.2,1.0,3.0,0.5,110.0
2024,2024-09-01,ffc,standard,CeeDee Lamb,DAL,WR,1.7,1.0,3.0,0.7,26.0
2024,2024-09-01,ffc,standard,Bijan Robinson,ATL,RB,2.5,1.0,3.0,0.7,50.0
2024,2024-09-01,ffc,standard,Breece Hall,NYJ,RB,3.9,1.0,7.0,1.3,117.0
2024,2024-09-01,ffc,standard,Tyreek Hill,MIA,WR,4.4,1.0,8.0,1.3,141.0
2024,2024-09-01,ffc,standard,Jonathan Taylor,IND,RB,6.4,2.0,10.0,1.8,53.0
2024,2024-09-01,ffc,standard,Ja'Marr Chase,CIN,WR,6.6,4.0,9.0,1.2,33.0
2024,2024-09-01,ffc,standard,Amon-Ra St. Brown,DET,WR,7.0,4.0,9.0,1.2,56.0
2024,2024-09-01,ffc,standard,Justin Jefferson,MIN,WR,8.1,2.0,12.0,2.1,68.0
2024,2024-09-01,ffc,standard,Saquon Barkley,PHI,RB,9.7,5.0,16.0,1.9,90.0
2024,2024-09-01,ffc,standard,Derrick Henry,BAL,RB,9.9,3.0,16.0,3.3,60.0
2024,2024-09-01,ffc,standard,A.J. Brown,PHI,WR,11.4,7.0,17.0,1.9,62.0
2024,2024-09-01,ffc,standard,Kyren Williams,LAR,RB,12.1,7.0,16.0,2.2,38.0
2024,2024-09-01,ffc,standard,Jahmyr Gibbs,DET,RB,13.8,7.0,20.0,2.6,80.0
2024,2024-09-01,ffc,standard,Garrett Wilson,NYJ,WR,14.6,8.0,20.0,2.3,83.0
2024,2024-09-01,ffc,standard,Josh Jacobs,GB,RB,16.2,9.0,20.0,2.5,55.0
2024,2024-09-01,ffc,standard,Travis Etienne Jr.,JAX,RB,16.5,12.0,23.0,2.2,79.0
2024,2024-09-01,ffc,standard,Puka Nacua,LAR,WR,16.8,9.0,22.0,2.7,55.0
2024,2024-09-01,ffc,standard,Isiah Pacheco,KC,RB,18.5,13.0,24.0,2.0,117.0
2024,2024-09-01,ffc,standard,Deebo Samuel Sr.,SF,WR,19.3,12.0,24.0,2.6,35.0
2024,2024-09-01,ffc,standard,De'Von Achane,MIA,RB,20.9,17.0,29.0,2.6,72.0
2024,2024-09-01,ffc,standard,Drake London,ATL,WR,21.8,16.0,28.0,2.4,78.0
2024,2024-09-01,ffc,standard,Cooper Kupp,LAR,WR,22.2,13.0,31.0,3.3,108.0
2024,2024-09-01,ffc,standard,Nico Collins,HOU,WR,23.1,16.0,31.0,2.6,80.0
2024,2024-09-01,ffc,standard,Josh Allen,BUF,QB,23.9,15.0,32.0,3.3,73.0
2024,2024-09-01,ffc,standard,Rachaad White,TB,RB,25.1,18.0,30.0,3.4,40.0
2024,2024-09-01,ffc,standard,Mike Evans,TB,WR,25.8,21.0,35.0,2.6,50.0
2024,2024-09-01,ffc,standard,Marvin Harrison Jr.,ARI,WR,26.2,16.0,37.0,3.7,127.0
2024,2024-09-01,ffc,standard,Patrick Mahomes,KC,QB,26.3,2.0,39.0,9.1,54.0
2024,2024-09-01,ffc,standard,James Cook III,BUF,RB,27.2,20.0,36.0,3.6,91.0
2024,2024-09-01,ffc,standard,Jaylen Waddle,MIA,WR,27.8,21.0,36.0,3.2,41.0
