# La Liga 2026 (ESPN, The Oracle, teamId=1) — read from the ESPN API 2026-09-22.
# Update after every add/drop. K/DST are not scored by waiver_wire.py.
Brock Purdy
James Cook
Derrick Henry
J.K. Dobbins
Tyjae Spears
Braelon Allen
Emmett Johnson
Tee Higgins
Rashee Rice
Mike Evans
Brian Thomas Jr.
Xavier Worthy
Keenan Allen
Devaughn Vele
Tyler Warren
