adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
47,Colston Loveland,TE,CHI,,,,ffc,ppr,46.4,5.3,175.0,2026-07-18T22:47:56.172763+00:00,colston loveland
48,Bucky Irving,RB,TB,,,,ffc,ppr,46.6,4.6,119.0,2026-07-18T22:47:56.172763+00:00,bucky irving
49,D'Andre Swift,RB,CHI,,,,ffc,ppr,47.7,4.3,90.0,2026-07-18T22:47:56.172763+00:00,dandre swift
50,Joe Burrow,QB,CIN,,,,ffc,ppr,47.7,9.2,134.0,2026-07-18T22:47:56.172763+00:00,joseph burrow
51,Jameson Williams,WR,DET,,,,ffc,ppr,48.5,5.6,79.0,2026-07-18T22:47:56.172763+00:00,jameson williams
52,Quinshon Judkins,RB,CLE,,,,ffc,ppr,49.1,5.3,180.0,2026-07-18T22:47:56.172763+00:00,quinshon judkins
53,Mike Evans,WR,SF,,,,ffc,ppr,49.4,6.0,207.0,2026-07-18T22:47:56.172763+00:00,michael evans
54,Tyler Warren,TE,IND,,,,ffc,ppr,54.5,6.5,177.0,2026-07-18T22:47:56.172763+00:00,tyler warren
55,Rome Odunze,WR,CHI,,,,ffc,ppr,55.2,4.6,168.0,2026-07-18T22:47:56.172763+00:00,rome odunze
56,Lamar Jackson,QB,BAL,,,,ffc,ppr,55.6,8.6,150.0,2026-07-18T22:47:56.172763+00:00,lamar jackson
57,David Montgomery,RB,HOU,,,,ffc,ppr,55.8,6.0,304.0,2026-07-18T22:47:56.172763+00:00,david montgomery
58,DK Metcalf,WR,PIT,,,,ffc,ppr,57.1,5.0,99.0,2026-07-18T22:47:56.172763+00:00,dk metcalf
59,TreVeyon Henderson,RB,NE,,,,ffc,ppr,58.0,6.6,214.0,2026-07-18T22:47:56.172763+00:00,treveyon henderson
60,Bhayshul Tuten,RB,JAX,,,,ffc,ppr,60.5,6.1,167.0,2026-07-18T22:47:56.172763+00:00,bhayshul tuten
61,Alec Pierce,WR,IND,,,,ffc,ppr,60.9,6.8,161.0,2026-07-18T22:47:56.172763+00:00,alec pierce
62,Christian Watson,WR,GB,,,,ffc,ppr,61.3,6.8,325.0,2026-07-18T22:47:56.172763+00:00,christian watson
63,Carnell Tate,WR,TEN,,,,ffc,ppr,61.8,6.6,147.0,2026-07-18T22:47:56.172763+00:00,carnell tate
64,Dak Prescott,QB,DAL,,,,ffc,ppr,61.9,5.8,69.0,2026-07-18T22:47:56.172763+00:00,dak prescott
65,Drake Maye,QB,NE,,,,ffc,ppr,64.7,5.9,137.0,2026-07-18T22:47:56.172763+00:00,drake maye
66,DJ Moore,WR,BUF,,,,ffc,ppr,65.3,7.4,469.0,2026-07-18T22:47:56.172763+00:00,dj moore
67,Marvin Harrison Jr.,WR,ARI,,,,ffc,ppr,66.2,7.1,174.0,2026-07-18T22:47:56.172763+00:00,marvin harrison
68,Jaylen Warren,RB,PIT,,,,ffc,ppr,66.4,3.2,38.0,2026-07-18T22:47:56.172763+00:00,jaylen warren
69,Harold Fannin Jr.,TE,CLE,,,,ffc,ppr,69.1,6.0,37.0,2026-07-18T22:47:56.172763+00:00,harold fannin
70,Michael Pittman Jr.,WR,PIT,,,,ffc,ppr,69.9,7.7,131.0,2026-07-18T22:47:56.172763+00:00,michael pittman
71,Rhamondre Stevenson,RB,NE,,,,ffc,ppr,70.2,4.9,57.0,2026-07-18T22:47:56.172763+00:00,rhamondre stevenson
72,Sam LaPorta,TE,DET,,,,ffc,ppr,70.9,7.7,69.0,2026-07-18T22:47:56.172763+00:00,samuel laporta
73,Parker Washington,WR,JAX,,,,ffc,ppr,73.3,7.7,126.0,2026-07-18T22:47:56.172763+00:00,parker washington
74,Courtland Sutton,WR,DEN,,,,ffc,ppr,73.5,6.7,138.0,2026-07-18T22:47:56.172763+00:00,courtland sutton
75,Tucker Kraft,TE,GB,,,,ffc,ppr,73.8,7.8,89.0,2026-07-18T22:47:56.172763+00:00,tucker kraft
76,Jadarian Price,RB,SEA,,,,ffc,ppr,73.9,7.9,294.0,2026-07-18T22:47:56.172763+00:00,jadarian price
77,Tony Pollard,RB,TEN,,,,ffc,ppr,74.4,5.8,87.0,2026-07-18T22:47:56.172763+00:00,anthony pollard
78,Patrick Mahomes,QB,KC,,,,ffc,ppr,77.5,10.6,71.0,2026-07-18T22:47:56.172763+00:00,patrick mahomes
79,Justin Herbert,QB,LAC,,,,ffc,ppr,78.2,11.9,136.0,2026-07-18T22:47:56.172763+00:00,justin herbert
80,Rico Dowdle,RB,PIT,,,,ffc,ppr,78.6,8.6,111.0,2026-07-18T22:47:56.172763+00:00,rico dowdle
81,Chris Godwin Jr.,WR,TB,,,,ffc,ppr,79.2,6.8,211.0,2026-07-18T22:47:56.172763+00:00,christopher godwin
82,Michael Wilson,WR,ARI,,,,ffc,ppr,81.1,7.4,217.0,2026-07-18T22:47:56.172763+00:00,michael wilson
83,Chuba Hubbard,RB,CAR,,,,ffc,ppr,81.9,9.7,150.0,2026-07-18T22:47:56.172763+00:00,chuba hubbard
84,Jayden Reed,WR,GB,,,,ffc,ppr,83.3,7.9,91.0,2026-07-18T22:47:56.172763+00:00,jayden reed
85,Jordyn Tyson,WR,NO,,,,ffc,ppr,83.6,8.4,124.0,2026-07-18T22:47:56.172763+00:00,jordyn tyson
86,Brian Thomas Jr.,WR,JAX,,,,ffc,ppr,84.4,9.1,273.0,2026-07-18T22:47:56.172763+00:00,brian thomas
87,Trevor Lawrence,QB,JAX,,,,ffc,ppr,85.1,10.7,83.0,2026-07-18T22:47:56.172763+00:00,trevor lawrence
88,Josh Downs,WR,IND,,,,ffc,ppr,85.8,7.4,123.0,2026-07-18T22:47:56.172763+00:00,joshua downs
89,Jayden Daniels,QB,WAS,,,,ffc,ppr,86.0,12.3,188.0,2026-07-18T22:47:56.172763+00:00,jayden daniels
90,Kyle Pitts Sr.,TE,ATL,,,,ffc,ppr,86.5,13.2,173.0,2026-07-18T22:47:56.172763+00:00,kyle pitts
91,Wan'Dale Robinson,WR,TEN,,,,ffc,ppr,89.3,8.6,105.0,2026-07-18T22:47:56.172763+00:00,wandale robinson
92,RJ Harvey,RB,DEN,,,,ffc,ppr,89.8,9.4,172.0,2026-07-18T22:47:56.172763+00:00,rj harvey
93,J.K. Dobbins,RB,DEN,,,,ffc,ppr,93.0,10.7,163.0,2026-07-18T22:47:56.172763+00:00,jk dobbins
94,Jordan Addison,WR,MIN,,,,ffc,ppr,93.1,7.5,88.0,2026-07-18T22:47:56.172763+00:00,jordan addison
95,Jared Goff,QB,DET,,,,ffc,ppr,93.7,13.6,72.0,2026-07-18T22:47:56.172763+00:00,jared goff
