adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,sleeper,half_ppr,1.4,,,2026-08-30T00:01:23.586636+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,sleeper,half_ppr,2.6,,,2026-08-30T00:01:23.586636+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,,,,sleeper,half_ppr,3.6,,,2026-08-30T00:01:23.586636+00:00,jamarr chase
4,Puka Nacua,WR,LAR,,,,sleeper,half_ppr,4.8,,,2026-08-30T00:01:23.586636+00:00,puka nacua
5,Christian McCaffrey,RB,SF,,,,sleeper,half_ppr,5.1,,,2026-08-30T00:01:23.586636+00:00,christian mccaffrey
6,Jonathan Taylor,RB,IND,,,,sleeper,half_ppr,6.5,,,2026-08-30T00:01:23.586636+00:00,jonathan taylor
7,Jaxon Smith-Njigba,WR,SEA,,,,sleeper,half_ppr,6.7,,,2026-08-30T00:01:23.586636+00:00,jaxon smithnjigba
8,Amon-Ra St. Brown,WR,DET,,,,sleeper,half_ppr,8.4,,,2026-08-30T00:01:23.586636+00:00,amonra st brown
9,James Cook,RB,BUF,,,,sleeper,half_ppr,9.4,,,2026-08-30T00:01:23.586636+00:00,james cook
10,CeeDee Lamb,WR,DAL,,,,sleeper,half_ppr,10.3,,,2026-08-30T00:01:23.586636+00:00,ceedee lamb
11,Saquon Barkley,RB,PHI,,,,sleeper,half_ppr,11.4,,,2026-08-30T00:01:23.586636+00:00,saquon barkley
12,Justin Jefferson,WR,MIN,,,,sleeper,half_ppr,12.4,,,2026-08-30T00:01:23.586636+00:00,justin jefferson
13,De'Von Achane,RB,MIA,,,,sleeper,half_ppr,13.3,,,2026-08-30T00:01:23.586636+00:00,devon achane
14,Ashton Jeanty,RB,LV,,,,sleeper,half_ppr,13.3,,,2026-08-30T00:01:23.586636+00:00,ashton jeanty
15,Omarion Hampton,RB,LAC,,,,sleeper,half_ppr,15.8,,,2026-08-30T00:01:23.586636+00:00,omarion hampton
16,Derrick Henry,RB,BAL,,,,sleeper,half_ppr,16.9,,,2026-08-30T00:01:23.586636+00:00,derrick henry
17,Chase Brown,RB,CIN,,,,sleeper,half_ppr,17.8,,,2026-08-30T00:01:23.586636+00:00,chase brown
18,Kenneth Walker,RB,KC,,,,sleeper,half_ppr,18.2,,,2026-08-30T00:01:23.586636+00:00,kenneth walker
19,A.J. Brown,WR,NE,,,,sleeper,half_ppr,19.5,,,2026-08-30T00:01:23.586636+00:00,aj brown
20,Josh Allen,QB,BUF,,,,sleeper,half_ppr,20.0,,,2026-08-30T00:01:23.586636+00:00,joshua allen
21,Drake London,WR,ATL,,,,sleeper,half_ppr,20.4,,,2026-08-30T00:01:23.586636+00:00,drake london
22,Brock Bowers,TE,LV,,,,sleeper,half_ppr,22.4,,,2026-08-30T00:01:23.586636+00:00,brock bowers
23,Nico Collins,WR,HOU,,,,sleeper,half_ppr,23.1,,,2026-08-30T00:01:23.586636+00:00,nico collins
24,Trey McBride,TE,ARI,,,,sleeper,half_ppr,24.5,,,2026-08-30T00:01:23.586636+00:00,trey mcbride
25,George Pickens,WR,DAL,,,,sleeper,half_ppr,25.8,,,2026-08-30T00:01:23.586636+00:00,george pickens
26,Kyren Williams,RB,LAR,,,,sleeper,half_ppr,26.4,,,2026-08-30T00:01:23.586636+00:00,kyren williams
27,Jeremiyah Love,RB,ARI,,,,sleeper,half_ppr,27.6,,,2026-08-30T00:01:23.586636+00:00,jeremiyah love
28,Josh Jacobs,RB,GB,,,,sleeper,half_ppr,27.9,,,2026-08-30T00:01:23.586636+00:00,joshua jacobs
29,Malik Nabers,WR,NYG,,,,sleeper,half_ppr,29.4,,,2026-08-30T00:01:23.586636+00:00,malik nabers
30,Rashee Rice,WR,KC,,,,sleeper,half_ppr,30.6,,,2026-08-30T00:01:23.586636+00:00,rashee rice
31,Chris Olave,WR,NO,,,,sleeper,half_ppr,31.5,,,2026-08-30T00:01:23.586636+00:00,christopher olave
32,Breece Hall,RB,NYJ,,,,sleeper,half_ppr,32.6,,,2026-08-30T00:01:23.586636+00:00,breece hall
33,Javonte Williams,RB,DAL,,,,sleeper,half_ppr,33.3,,,2026-08-30T00:01:23.586636+00:00,javonte williams
34,Lamar Jackson,QB,BAL,,,,sleeper,half_ppr,34.4,,,2026-08-30T00:01:23.586636+00:00,lamar jackson
35,DeVonta Smith,WR,PHI,,,,sleeper,half_ppr,34.9,,,2026-08-30T00:01:23.586636+00:00,devonta smith
36,Tetairoa McMillan,WR,CAR,,,,sleeper,half_ppr,36.9,,,2026-08-30T00:01:23.586636+00:00,tetairoa mcmillan
37,Cam Skattebo,RB,NYG,,,,sleeper,half_ppr,37.0,,,2026-08-30T00:01:23.586636+00:00,cameron skattebo
38,Tee Higgins,WR,CIN,,,,sleeper,half_ppr,38.6,,,2026-08-30T00:01:23.586636+00:00,tee higgins
39,Ladd McConkey,WR,LAC,,,,sleeper,half_ppr,39.8,,,2026-08-30T00:01:23.586636+00:00,ladd mcconkey
40,Emeka Egbuka,WR,TB,,,,sleeper,half_ppr,40.7,,,2026-08-30T00:01:23.586636+00:00,emeka egbuka
41,Zay Flowers,WR,BAL,,,,sleeper,half_ppr,41.2,,,2026-08-30T00:01:23.586636+00:00,zay flowers
42,Travis Etienne,RB,NO,,,,sleeper,half_ppr,41.4,,,2026-08-30T00:01:23.586636+00:00,travis etienne
43,Colston Loveland,TE,CHI,,,,sleeper,half_ppr,43.7,,,2026-08-30T00:01:23.586636+00:00,colston loveland
44,Garrett Wilson,WR,NYJ,,,,sleeper,half_ppr,44.1,,,2026-08-30T00:01:23.586636+00:00,garrett wilson
45,Bucky Irving,RB,TB,,,,sleeper,half_ppr,45.6,,,2026-08-30T00:01:23.586636+00:00,bucky irving
46,David Montgomery,RB,HOU,,,,sleeper,half_ppr,46.1,,,2026-08-30T00:01:23.586636+00:00,david montgomery
47,Jaylen Waddle,WR,DEN,,,,sleeper,half_ppr,47.5,,,2026-08-30T00:01:23.586636+00:00,jaylen waddle
48,Quinshon Judkins,RB,CLE,,,,sleeper,half_ppr,48.2,,,2026-08-30T00:01:23.586636+00:00,quinshon judkins
