adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,,,,,espn,standard,1.4,,,2026-08-30T00:00:44.506126+00:00,jahmyr gibbs
2,Bijan Robinson,RB,,,,,espn,standard,2.43,,,2026-08-30T00:00:44.506126+00:00,bijan robinson
3,Ja'Marr Chase,WR,,,,,espn,standard,4.12,,,2026-08-30T00:00:44.506126+00:00,jamarr chase
4,Puka Nacua,WR,,,,,espn,standard,5.25,,,2026-08-30T00:00:44.506126+00:00,puka nacua
5,Jaxon Smith-Njigba,WR,,,,,espn,standard,5.89,,,2026-08-30T00:00:44.506126+00:00,jaxon smithnjigba
6,Jonathan Taylor,RB,,,,,espn,standard,7.08,,,2026-08-30T00:00:44.506126+00:00,jonathan taylor
7,Christian McCaffrey,RB,,,,,espn,standard,7.48,,,2026-08-30T00:00:44.506126+00:00,christian mccaffrey
8,Amon-Ra St. Brown,WR,,,,,espn,standard,8.27,,,2026-08-30T00:00:44.506126+00:00,amonra st brown
9,CeeDee Lamb,WR,,,,,espn,standard,11.07,,,2026-08-30T00:00:44.506126+00:00,ceedee lamb
10,James Cook III,RB,,,,,espn,standard,11.54,,,2026-08-30T00:00:44.506126+00:00,james cook
11,De'Von Achane,RB,,,,,espn,standard,12.01,,,2026-08-30T00:00:44.506126+00:00,devon achane
12,Justin Jefferson,WR,,,,,espn,standard,12.31,,,2026-08-30T00:00:44.506126+00:00,justin jefferson
13,Saquon Barkley,RB,,,,,espn,standard,14.9,,,2026-08-30T00:00:44.506126+00:00,saquon barkley
14,Derrick Henry,RB,,,,,espn,standard,17.93,,,2026-08-30T00:00:44.506126+00:00,derrick henry
15,Drake London,WR,,,,,espn,standard,19.07,,,2026-08-30T00:00:44.506126+00:00,drake london
16,Ashton Jeanty,RB,,,,,espn,standard,19.44,,,2026-08-30T00:00:44.506126+00:00,ashton jeanty
17,Chase Brown,RB,,,,,espn,standard,20.04,,,2026-08-30T00:00:44.506126+00:00,chase brown
18,Josh Allen,QB,,,,,espn,standard,21.01,,,2026-08-30T00:00:44.506126+00:00,joshua allen
19,Trey McBride,TE,,,,,espn,standard,21.39,,,2026-08-30T00:00:44.506126+00:00,trey mcbride
20,Omarion Hampton,RB,,,,,espn,standard,22.92,,,2026-08-30T00:00:44.506126+00:00,omarion hampton
21,Kenneth Walker III,RB,,,,,espn,standard,23.34,,,2026-08-30T00:00:44.506126+00:00,kenneth walker
22,Jeremiyah Love,RB,,,,,espn,standard,24.11,,,2026-08-30T00:00:44.506126+00:00,jeremiyah love
23,Brock Bowers,TE,,,,,espn,standard,24.2,,,2026-08-30T00:00:44.506126+00:00,brock bowers
24,A.J. Brown,WR,,,,,espn,standard,24.62,,,2026-08-30T00:00:44.506126+00:00,aj brown
25,Rashee Rice,WR,,,,,espn,standard,24.68,,,2026-08-30T00:00:44.506126+00:00,rashee rice
26,Nico Collins,WR,,,,,espn,standard,26.42,,,2026-08-30T00:00:44.506126+00:00,nico collins
27,George Pickens,WR,,,,,espn,standard,29.82,,,2026-08-30T00:00:44.506126+00:00,george pickens
28,Chris Olave,WR,,,,,espn,standard,30.51,,,2026-08-30T00:00:44.506126+00:00,christopher olave
29,Malik Nabers,WR,,,,,espn,standard,34.17,,,2026-08-30T00:00:44.506126+00:00,malik nabers
30,Breece Hall,RB,,,,,espn,standard,34.55,,,2026-08-30T00:00:44.506126+00:00,breece hall
31,Javonte Williams,RB,,,,,espn,standard,34.65,,,2026-08-30T00:00:44.506126+00:00,javonte williams
32,Garrett Wilson,WR,,,,,espn,standard,36.57,,,2026-08-30T00:00:44.506126+00:00,garrett wilson
33,Lamar Jackson,QB,,,,,espn,standard,37.39,,,2026-08-30T00:00:44.506126+00:00,lamar jackson
34,Josh Jacobs,RB,,,,,espn,standard,38.2,,,2026-08-30T00:00:44.506126+00:00,joshua jacobs
35,DeVonta Smith,WR,,,,,espn,standard,39.23,,,2026-08-30T00:00:44.506126+00:00,devonta smith
36,Kyren Williams,RB,,,,,espn,standard,39.66,,,2026-08-30T00:00:44.506126+00:00,kyren williams
37,Tetairoa McMillan,WR,,,,,espn,standard,41.56,,,2026-08-30T00:00:44.506126+00:00,tetairoa mcmillan
38,Zay Flowers,WR,,,,,espn,standard,42.3,,,2026-08-30T00:00:44.506126+00:00,zay flowers
39,Travis Etienne Jr.,RB,,,,,espn,standard,43.27,,,2026-08-30T00:00:44.506126+00:00,travis etienne
40,Colston Loveland,TE,,,,,espn,standard,44.12,,,2026-08-30T00:00:44.506126+00:00,colston loveland
41,Cam Skattebo,RB,,,,,espn,standard,44.92,,,2026-08-30T00:00:44.506126+00:00,cameron skattebo
42,Davante Adams,WR,,,,,espn,standard,46.22,,,2026-08-30T00:00:44.506126+00:00,davante adams
43,Emeka Egbuka,WR,,,,,espn,standard,46.98,,,2026-08-30T00:00:44.506126+00:00,emeka egbuka
44,Drake Maye,QB,,,,,espn,standard,47.44,,,2026-08-30T00:00:44.506126+00:00,drake maye
45,Ladd McConkey,WR,,,,,espn,standard,48.79,,,2026-08-30T00:00:44.506126+00:00,ladd mcconkey
46,Tyler Warren,TE,,,,,espn,standard,51.18,,,2026-08-30T00:00:44.506126+00:00,tyler warren
47,Jayden Daniels,QB,,,,,espn,standard,51.65,,,2026-08-30T00:00:44.506126+00:00,jayden daniels
48,Jalen Hurts,QB,,,,,espn,standard,52.47,,,2026-08-30T00:00:44.506126+00:00,jalen hurts
49,Quinshon Judkins,RB,,,,,espn,standard,52.78,,,2026-08-30T00:00:44.506126+00:00,quinshon judkins
50,Tee Higgins,WR,,,,,espn,standard,53.6,,,2026-08-30T00:00:44.506126+00:00,tee higgins
51,Jaylen Waddle,WR,,,,,espn,standard,54.66,,,2026-08-30T00:00:44.506126+00:00,jaylen waddle
52,Bucky Irving,RB,,,,,espn,standard,55.16,,,2026-08-30T00:00:44.506126+00:00,bucky irving
53,Joe Burrow,QB,,,,,espn,standard,56.94,,,2026-08-30T00:00:44.506126+00:00,joseph burrow
54,D'Andre Swift,RB,,,,,espn,standard,60.03,,,2026-08-30T00:00:44.506126+00:00,dandre swift
55,Terry McLaurin,WR,,,,,espn,standard,60.29,,,2026-08-30T00:00:44.506126+00:00,terry mclaurin
56,DJ Moore,WR,,,,,espn,standard,62.56,,,2026-08-30T00:00:44.506126+00:00,dj moore
57,Rome Odunze,WR,,,,,espn,standard,64.48,,,2026-08-30T00:00:44.506126+00:00,rome odunze
58,Jameson Williams,WR,,,,,espn,standard,65.98,,,2026-08-30T00:00:44.506126+00:00,jameson williams
59,Kyle Pitts Sr.,TE,,,,,espn,standard,66.34,,,2026-08-30T00:00:44.506126+00:00,kyle pitts
60,David Montgomery,RB,,,,,espn,standard,67.19,,,2026-08-30T00:00:44.506126+00:00,david montgomery
61,Bhayshul Tuten,RB,,,,,espn,standard,68.69,,,2026-08-30T00:00:44.506126+00:00,bhayshul tuten
62,Sam LaPorta,TE,,,,,espn,standard,72.17,,,2026-08-30T00:00:44.506126+00:00,samuel laporta
63,Jadarian Price,RB,,,,,espn,standard,73.22,,,2026-08-30T00:00:44.506126+00:00,jadarian price
64,Harold Fannin Jr.,TE,,,,,espn,standard,73.55,,,2026-08-30T00:00:44.506126+00:00,harold fannin
65,Luther Burden III,WR,,,,,espn,standard,76.44,,,2026-08-30T00:00:44.506126+00:00,luther burden
66,Carnell Tate,WR,,,,,espn,standard,77.37,,,2026-08-30T00:00:44.506126+00:00,carnell tate
67,Jaxson Dart,QB,,,,,espn,standard,78.8,,,2026-08-30T00:00:44.506126+00:00,jaxson dart
68,TreVeyon Henderson,RB,,,,,espn,standard,78.86,,,2026-08-30T00:00:44.506126+00:00,treveyon henderson
69,Dak Prescott,QB,,,,,espn,standard,80.24,,,2026-08-30T00:00:44.506126+00:00,dak prescott
70,Courtland Sutton,WR,,,,,espn,standard,80.4,,,2026-08-30T00:00:44.506126+00:00,courtland sutton
