adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,,,,,espn,standard,1.4,,,2026-08-28T21:40:49.330463+00:00,jahmyr gibbs
2,Bijan Robinson,RB,,,,,espn,standard,2.44,,,2026-08-28T21:40:49.330463+00:00,bijan robinson
3,Ja'Marr Chase,WR,,,,,espn,standard,4.03,,,2026-08-28T21:40:49.330463+00:00,jamarr chase
4,Puka Nacua,WR,,,,,espn,standard,5.22,,,2026-08-28T21:40:49.330463+00:00,puka nacua
5,Jaxon Smith-Njigba,WR,,,,,espn,standard,5.76,,,2026-08-28T21:40:49.330463+00:00,jaxon smithnjigba
6,Jonathan Taylor,RB,,,,,espn,standard,7.36,,,2026-08-28T21:40:49.330463+00:00,jonathan taylor
7,Christian McCaffrey,RB,,,,,espn,standard,7.37,,,2026-08-28T21:40:49.330463+00:00,christian mccaffrey
8,Amon-Ra St. Brown,WR,,,,,espn,standard,8.22,,,2026-08-28T21:40:49.330463+00:00,amonra st brown
9,CeeDee Lamb,WR,,,,,espn,standard,10.81,,,2026-08-28T21:40:49.330463+00:00,ceedee lamb
10,De'Von Achane,RB,,,,,espn,standard,11.96,,,2026-08-28T21:40:49.330463+00:00,devon achane
11,James Cook III,RB,,,,,espn,standard,11.97,,,2026-08-28T21:40:49.330463+00:00,james cook
12,Justin Jefferson,WR,,,,,espn,standard,12.15,,,2026-08-28T21:40:49.330463+00:00,justin jefferson
13,Saquon Barkley,RB,,,,,espn,standard,15.18,,,2026-08-28T21:40:49.330463+00:00,saquon barkley
14,Derrick Henry,RB,,,,,espn,standard,18.34,,,2026-08-28T21:40:49.330463+00:00,derrick henry
15,Ashton Jeanty,RB,,,,,espn,standard,18.38,,,2026-08-28T21:40:49.330463+00:00,ashton jeanty
16,Drake London,WR,,,,,espn,standard,18.71,,,2026-08-28T21:40:49.330463+00:00,drake london
17,Trey McBride,TE,,,,,espn,standard,21.0,,,2026-08-28T21:40:49.330463+00:00,trey mcbride
18,Chase Brown,RB,,,,,espn,standard,21.09,,,2026-08-28T21:40:49.330463+00:00,chase brown
19,Josh Allen,QB,,,,,espn,standard,21.65,,,2026-08-28T21:40:49.330463+00:00,joshua allen
20,Kenneth Walker III,RB,,,,,espn,standard,22.68,,,2026-08-28T21:40:49.330463+00:00,kenneth walker
21,Rashee Rice,WR,,,,,espn,standard,23.15,,,2026-08-28T21:40:49.330463+00:00,rashee rice
22,Jeremiyah Love,RB,,,,,espn,standard,23.35,,,2026-08-28T21:40:49.330463+00:00,jeremiyah love
23,Omarion Hampton,RB,,,,,espn,standard,24.24,,,2026-08-28T21:40:49.330463+00:00,omarion hampton
24,Brock Bowers,TE,,,,,espn,standard,24.28,,,2026-08-28T21:40:49.330463+00:00,brock bowers
25,A.J. Brown,WR,,,,,espn,standard,25.78,,,2026-08-28T21:40:49.330463+00:00,aj brown
26,Nico Collins,WR,,,,,espn,standard,26.61,,,2026-08-28T21:40:49.330463+00:00,nico collins
27,George Pickens,WR,,,,,espn,standard,30.33,,,2026-08-28T21:40:49.330463+00:00,george pickens
28,Chris Olave,WR,,,,,espn,standard,30.79,,,2026-08-28T21:40:49.330463+00:00,christopher olave
29,Malik Nabers,WR,,,,,espn,standard,33.87,,,2026-08-28T21:40:49.330463+00:00,malik nabers
30,Breece Hall,RB,,,,,espn,standard,33.96,,,2026-08-28T21:40:49.330463+00:00,breece hall
31,Javonte Williams,RB,,,,,espn,standard,34.83,,,2026-08-28T21:40:49.330463+00:00,javonte williams
32,Garrett Wilson,WR,,,,,espn,standard,36.32,,,2026-08-28T21:40:49.330463+00:00,garrett wilson
33,Josh Jacobs,RB,,,,,espn,standard,37.39,,,2026-08-28T21:40:49.330463+00:00,joshua jacobs
34,Lamar Jackson,QB,,,,,espn,standard,38.2,,,2026-08-28T21:40:49.330463+00:00,lamar jackson
35,DeVonta Smith,WR,,,,,espn,standard,39.86,,,2026-08-28T21:40:49.330463+00:00,devonta smith
36,Kyren Williams,RB,,,,,espn,standard,40.59,,,2026-08-28T21:40:49.330463+00:00,kyren williams
