adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,ffc,half_ppr,1.5,0.7,355.0,2026-08-19T01:03:52.823595+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,ffc,half_ppr,2.1,0.7,215.0,2026-08-19T01:03:52.823595+00:00,bijan robinson
3,Puka Nacua,WR,LAR,,,,ffc,half_ppr,3.0,0.5,50.0,2026-08-19T01:03:52.823595+00:00,puka nacua
4,Ja'Marr Chase,WR,CIN,,,,ffc,half_ppr,4.1,1.0,391.0,2026-08-19T01:03:52.823595+00:00,jamarr chase
5,Jaxon Smith-Njigba,WR,SEA,,,,ffc,half_ppr,5.4,1.3,181.0,2026-08-19T01:03:52.823595+00:00,jaxon smithnjigba
6,Jonathan Taylor,RB,IND,,,,ffc,half_ppr,5.8,1.3,284.0,2026-08-19T01:03:52.823595+00:00,jonathan taylor
7,Christian McCaffrey,RB,SF,,,,ffc,half_ppr,6.8,1.6,257.0,2026-08-19T01:03:52.823595+00:00,christian mccaffrey
8,Amon-Ra St. Brown,WR,DET,,,,ffc,half_ppr,7.8,1.5,313.0,2026-08-19T01:03:52.823595+00:00,amonra st brown
9,James Cook III,RB,BUF,,,,ffc,half_ppr,8.9,2.0,327.0,2026-08-19T01:03:52.823595+00:00,james cook
10,Derrick Henry,RB,BAL,,,,ffc,half_ppr,10.6,1.4,119.0,2026-08-19T01:03:52.823595+00:00,derrick henry
11,De'Von Achane,RB,MIA,,,,ffc,half_ppr,11.3,2.0,166.0,2026-08-19T01:03:52.823595+00:00,devon achane
12,Drake London,WR,ATL,,,,ffc,half_ppr,12.1,1.5,48.0,2026-08-19T01:03:52.823595+00:00,drake london
13,CeeDee Lamb,WR,DAL,,,,ffc,half_ppr,12.6,2.2,261.0,2026-08-19T01:03:52.823595+00:00,ceedee lamb
14,Justin Jefferson,WR,MIN,,,,ffc,half_ppr,14.0,2.3,268.0,2026-08-19T01:03:52.823595+00:00,justin jefferson
15,Chase Brown,RB,CIN,,,,ffc,half_ppr,14.8,2.6,377.0,2026-08-19T01:03:52.823595+00:00,chase brown
16,Ashton Jeanty,RB,LV,,,,ffc,half_ppr,15.8,2.9,345.0,2026-08-19T01:03:52.823595+00:00,ashton jeanty
17,Rashee Rice,WR,KC,,,,ffc,half_ppr,16.9,2.1,45.0,2026-08-19T01:03:52.823595+00:00,rashee rice
18,Saquon Barkley,RB,PHI,,,,ffc,half_ppr,17.9,3.0,539.0,2026-08-19T01:03:52.823595+00:00,saquon barkley
19,George Pickens,WR,DAL,,,,ffc,half_ppr,19.2,2.6,101.0,2026-08-19T01:03:52.823595+00:00,george pickens
20,A.J. Brown,WR,NE,,,,ffc,half_ppr,19.4,2.8,182.0,2026-08-19T01:03:52.823595+00:00,aj brown
21,Nico Collins,WR,HOU,,,,ffc,half_ppr,21.5,2.3,136.0,2026-08-19T01:03:52.823595+00:00,nico collins
22,Kenneth Walker,RB,KC,,,,ffc,half_ppr,22.1,4.0,458.0,2026-08-19T01:03:52.823595+00:00,kenneth walker
23,Omarion Hampton,RB,LAC,,,,ffc,half_ppr,22.4,3.6,492.0,2026-08-19T01:03:52.823595+00:00,omarion hampton
24,Chris Olave,WR,NO,,,,ffc,half_ppr,24.3,2.4,91.0,2026-08-19T01:03:52.823595+00:00,christopher olave
25,Zay Flowers,WR,BAL,,,,ffc,half_ppr,24.4,2.6,48.0,2026-08-19T01:03:52.823595+00:00,zay flowers
26,Kyren Williams,RB,LAR,,,,ffc,half_ppr,27.2,3.3,246.0,2026-08-19T01:03:52.823595+00:00,kyren williams
27,Josh Jacobs,RB,GB,,,,ffc,half_ppr,27.2,2.9,131.0,2026-08-19T01:03:52.823595+00:00,joshua jacobs
28,Malik Nabers,WR,NYG,,,,ffc,half_ppr,27.7,3.4,278.0,2026-08-19T01:03:52.823595+00:00,malik nabers
29,Breece Hall,RB,NYJ,,,,ffc,half_ppr,28.4,3.3,104.0,2026-08-19T01:03:52.823595+00:00,breece hall
30,Garrett Wilson,WR,NYJ,,,,ffc,half_ppr,30.9,3.2,127.0,2026-08-19T01:03:52.823595+00:00,garrett wilson
31,DeVonta Smith,WR,PHI,,,,ffc,half_ppr,31.3,3.4,319.0,2026-08-19T01:03:52.823595+00:00,devonta smith
32,Josh Allen,QB,BUF,,,,ffc,half_ppr,31.5,6.9,302.0,2026-08-19T01:03:52.823595+00:00,joshua allen
33,Jeremiyah Love,RB,ARI,,,,ffc,half_ppr,31.7,4.4,253.0,2026-08-19T01:03:52.823595+00:00,jeremiyah love
34,Tetairoa McMillan,WR,CAR,,,,ffc,half_ppr,33.9,3.8,108.0,2026-08-19T01:03:52.823595+00:00,tetairoa mcmillan
35,Javonte Williams,RB,DAL,,,,ffc,half_ppr,34.1,4.1,320.0,2026-08-19T01:03:52.823595+00:00,javonte williams
36,Cam Skattebo,RB,NYG,,,,ffc,half_ppr,34.6,3.8,158.0,2026-08-19T01:03:52.823595+00:00,cameron skattebo
37,Tee Higgins,WR,CIN,,,,ffc,half_ppr,35.0,4.0,113.0,2026-08-19T01:03:52.823595+00:00,tee higgins
38,Davante Adams,WR,LAR,,,,ffc,half_ppr,37.4,3.4,109.0,2026-08-19T01:03:52.823595+00:00,davante adams
39,Emeka Egbuka,WR,TB,,,,ffc,half_ppr,37.5,4.9,407.0,2026-08-19T01:03:52.823595+00:00,emeka egbuka
40,Trey McBride,TE,ARI,,,,ffc,half_ppr,38.6,6.7,228.0,2026-08-19T01:03:52.823595+00:00,trey mcbride
41,Jameson Williams,WR,DET,,,,ffc,half_ppr,39.9,4.2,91.0,2026-08-19T01:03:52.823595+00:00,jameson williams
42,Ladd McConkey,WR,LAC,,,,ffc,half_ppr,40.9,4.2,359.0,2026-08-19T01:03:52.823595+00:00,ladd mcconkey
43,Brock Bowers,TE,LV,,,,ffc,half_ppr,42.5,8.0,465.0,2026-08-19T01:03:52.823595+00:00,brock bowers
44,Travis Etienne Jr.,RB,NO,,,,ffc,half_ppr,42.8,4.6,124.0,2026-08-19T01:03:52.823595+00:00,travis etienne
45,D'Andre Swift,RB,CHI,,,,ffc,half_ppr,43.2,6.2,247.0,2026-08-19T01:03:52.823595+00:00,dandre swift
46,Terry McLaurin,WR,WAS,,,,ffc,half_ppr,44.9,4.3,139.0,2026-08-19T01:03:52.823595+00:00,terry mclaurin
