adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
194,Hunter Henry,TE,NE,,,,ffc,half_ppr,161.9,17.0,34.0,2026-08-30T22:19:27.860292+00:00,hunter henry
195,Jacksonville Defense,DST,JAX,,,,ffc,half_ppr,161.9,16.0,247.0,2026-08-30T22:19:27.860292+00:00,jacksonville defense
196,Brian Robinson,RB,ATL,,,,ffc,half_ppr,162.3,20.8,11.0,2026-08-30T22:19:27.860292+00:00,brian robinson
197,Cleveland Defense,DST,CLE,,,,ffc,half_ppr,162.5,11.2,94.0,2026-08-30T22:19:27.860292+00:00,cleveland defense
198,Trey Smack,K,GB,,,,ffc,half_ppr,162.5,22.5,20.0,2026-08-30T22:19:27.860292+00:00,trey smack
199,Troy Franklin,WR,DEN,,,,ffc,half_ppr,162.8,27.4,5.0,2026-08-30T22:19:27.860292+00:00,troy franklin
200,Devaughn Vele,WR,NO,,,,ffc,half_ppr,162.8,6.5,6.0,2026-08-30T22:19:27.860292+00:00,devaughn vele
201,Kaelon Black,RB,SF,,,,ffc,half_ppr,162.8,20.4,13.0,2026-08-30T22:19:27.860292+00:00,kaelon black
202,Ja'Kobi Lane,WR,BAL,,,,ffc,half_ppr,162.9,16.5,37.0,2026-08-30T22:19:27.860292+00:00,jakobi lane
203,NY Giants Defense,DST,NYG,,,,ffc,half_ppr,163.0,15.9,6.0,2026-08-30T22:19:27.860292+00:00,ny giants defense
204,Atlanta Defense,DST,ATL,,,,ffc,half_ppr,163.4,15.9,60.0,2026-08-30T22:19:27.860292+00:00,atlanta defense
205,Wil Lutz,K,DEN,,,,ffc,half_ppr,163.6,20.3,69.0,2026-08-30T22:19:27.860292+00:00,wil lutz
206,Cam Ward,QB,TEN,,,,ffc,half_ppr,163.6,27.6,5.0,2026-08-30T22:19:27.860292+00:00,cameron ward
207,Kayshon Boutte,WR,HOU,,,,ffc,half_ppr,163.7,14.0,67.0,2026-08-30T22:19:27.860292+00:00,kayshon boutte
208,Malik Willis,QB,MIA,,,,ffc,half_ppr,164.4,16.7,56.0,2026-08-30T22:19:27.860292+00:00,malik willis
209,Keaton Mitchell,RB,LAC,,,,ffc,half_ppr,164.5,25.0,23.0,2026-08-30T22:19:27.860292+00:00,keaton mitchell
210,Daniel Jones,QB,IND,,,,ffc,half_ppr,164.5,17.1,28.0,2026-08-30T22:19:27.860292+00:00,daniel jones
211,Travis Hunter,WR,JAX,,,,ffc,half_ppr,165.6,9.1,24.0,2026-08-30T22:19:27.860292+00:00,travis hunter
212,Jonah Coleman,RB,DEN,,,,ffc,half_ppr,165.9,20.5,29.0,2026-08-30T22:19:27.860292+00:00,jonah coleman
213,Buffalo Defense,DST,BUF,,,,ffc,half_ppr,166.4,15.6,162.0,2026-08-30T22:19:27.860292+00:00,buffalo defense
214,Baltimore Defense,DST,BAL,,,,ffc,half_ppr,166.9,20.3,119.0,2026-08-30T22:19:27.860292+00:00,baltimore defense
215,Chig Okonkwo,TE,WAS,,,,ffc,half_ppr,167.2,18.9,5.0,2026-08-30T22:19:27.860292+00:00,chig okonkwo
216,Caleb Douglas,WR,MIA,,,,ffc,half_ppr,167.3,15.2,10.0,2026-08-30T22:19:27.860292+00:00,caleb douglas
217,Brenton Strange,TE,JAX,,,,ffc,half_ppr,168.1,19.3,27.0,2026-08-30T22:19:27.860292+00:00,brenton strange
218,Chicago Defense,DST,CHI,,,,ffc,half_ppr,168.9,21.6,7.0,2026-08-30T22:19:27.860292+00:00,chicago defense
219,Dylan Sampson,RB,CLE,,,,ffc,half_ppr,169.2,21.7,15.0,2026-08-30T22:19:27.860292+00:00,dylan sampson
220,Harrison Butker,K,KC,,,,ffc,half_ppr,169.4,16.2,73.0,2026-08-30T22:19:27.860292+00:00,harrison butker
221,Tre' Harris,WR,LAC,,,,ffc,half_ppr,169.6,14.9,5.0,2026-08-30T22:19:27.860292+00:00,tre harris
222,Evan McPherson,K,CIN,,,,ffc,half_ppr,173.0,17.3,24.0,2026-08-30T22:19:27.860292+00:00,evan mcpherson
223,Isaac TeSlaa,WR,DET,,,,ffc,half_ppr,173.1,46.1,8.0,2026-08-30T22:19:27.860292+00:00,isaac teslaa
224,Bryce Young,QB,CAR,,,,ffc,half_ppr,174.0,25.7,7.0,2026-08-30T22:19:27.860292+00:00,bryce young
225,Andy Borregales,K,NE,,,,ffc,half_ppr,175.4,23.4,5.0,2026-08-30T22:19:27.860292+00:00,andy borregales
226,T.J. Hockenson,TE,MIN,,,,ffc,half_ppr,176.6,7.9,13.0,2026-08-30T22:19:27.860292+00:00,tj hockenson
227,Dalton Schultz,TE,HOU,,,,ffc,half_ppr,178.5,22.7,14.0,2026-08-30T22:19:27.860292+00:00,dalton schultz
228,Tennessee Defense,DST,TEN,,,,ffc,half_ppr,178.6,14.5,32.0,2026-08-30T22:19:27.860292+00:00,tennessee defense
229,Terrance Ferguson,TE,LAR,,,,ffc,half_ppr,181.8,16.0,16.0,2026-08-30T22:19:27.860292+00:00,terrance ferguson
230,New Orleans Defense,DST,NO,,,,ffc,half_ppr,182.4,16.0,25.0,2026-08-30T22:19:27.860292+00:00,new orleans defense
231,Cairo Santos,K,CHI,,,,ffc,half_ppr,184.6,24.5,23.0,2026-08-30T22:19:27.860292+00:00,cairo santos
232,Cincinnati Defense,DST,CIN,,,,ffc,half_ppr,186.0,19.7,7.0,2026-08-30T22:19:27.860292+00:00,cincinnati defense
