adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,,,,,espn,standard,1.41,,,2026-08-27T18:49:36.513972+00:00,jahmyr gibbs
2,Bijan Robinson,RB,,,,,espn,standard,2.45,,,2026-08-27T18:49:36.513972+00:00,bijan robinson
3,Ja'Marr Chase,WR,,,,,espn,standard,3.97,,,2026-08-27T18:49:36.513972+00:00,jamarr chase
4,Puka Nacua,WR,,,,,espn,standard,5.23,,,2026-08-27T18:49:36.513972+00:00,puka nacua
5,Jaxon Smith-Njigba,WR,,,,,espn,standard,5.68,,,2026-08-27T18:49:36.513972+00:00,jaxon smithnjigba
6,Christian McCaffrey,RB,,,,,espn,standard,7.32,,,2026-08-27T18:49:36.513972+00:00,christian mccaffrey
7,Jonathan Taylor,RB,,,,,espn,standard,7.56,,,2026-08-27T18:49:36.513972+00:00,jonathan taylor
8,Amon-Ra St. Brown,WR,,,,,espn,standard,8.21,,,2026-08-27T18:49:36.513972+00:00,amonra st brown
9,CeeDee Lamb,WR,,,,,espn,standard,10.63,,,2026-08-27T18:49:36.513972+00:00,ceedee lamb
10,De'Von Achane,RB,,,,,espn,standard,11.94,,,2026-08-27T18:49:36.513972+00:00,devon achane
11,Justin Jefferson,WR,,,,,espn,standard,12.05,,,2026-08-27T18:49:36.513972+00:00,justin jefferson
12,James Cook III,RB,,,,,espn,standard,12.27,,,2026-08-27T18:49:36.513972+00:00,james cook
13,Saquon Barkley,RB,,,,,espn,standard,15.39,,,2026-08-27T18:49:36.513972+00:00,saquon barkley
14,Ashton Jeanty,RB,,,,,espn,standard,17.62,,,2026-08-27T18:49:36.513972+00:00,ashton jeanty
15,Drake London,WR,,,,,espn,standard,18.47,,,2026-08-27T18:49:36.513972+00:00,drake london
16,Derrick Henry,RB,,,,,espn,standard,18.62,,,2026-08-27T18:49:36.513972+00:00,derrick henry
17,Trey McBride,TE,,,,,espn,standard,20.73,,,2026-08-27T18:49:36.513972+00:00,trey mcbride
18,Chase Brown,RB,,,,,espn,standard,21.92,,,2026-08-27T18:49:36.513972+00:00,chase brown
19,Josh Allen,QB,,,,,espn,standard,22.09,,,2026-08-27T18:49:36.513972+00:00,joshua allen
20,Rashee Rice,WR,,,,,espn,standard,22.1,,,2026-08-27T18:49:36.513972+00:00,rashee rice
21,Kenneth Walker III,RB,,,,,espn,standard,22.27,,,2026-08-27T18:49:36.513972+00:00,kenneth walker
22,Jeremiyah Love,RB,,,,,espn,standard,22.81,,,2026-08-27T18:49:36.513972+00:00,jeremiyah love
23,Brock Bowers,TE,,,,,espn,standard,24.34,,,2026-08-27T18:49:36.513972+00:00,brock bowers
24,Omarion Hampton,RB,,,,,espn,standard,25.23,,,2026-08-27T18:49:36.513972+00:00,omarion hampton
25,A.J. Brown,WR,,,,,espn,standard,26.66,,,2026-08-27T18:49:36.513972+00:00,aj brown
26,Nico Collins,WR,,,,,espn,standard,26.79,,,2026-08-27T18:49:36.513972+00:00,nico collins
27,George Pickens,WR,,,,,espn,standard,30.67,,,2026-08-27T18:49:36.513972+00:00,george pickens
28,Chris Olave,WR,,,,,espn,standard,31.05,,,2026-08-27T18:49:36.513972+00:00,christopher olave
29,Breece Hall,RB,,,,,espn,standard,33.6,,,2026-08-27T18:49:36.513972+00:00,breece hall
30,Malik Nabers,WR,,,,,espn,standard,33.75,,,2026-08-27T18:49:36.513972+00:00,malik nabers
31,Javonte Williams,RB,,,,,espn,standard,35.03,,,2026-08-27T18:49:36.513972+00:00,javonte williams
32,Garrett Wilson,WR,,,,,espn,standard,36.23,,,2026-08-27T18:49:36.513972+00:00,garrett wilson
33,Josh Jacobs,RB,,,,,espn,standard,37.0,,,2026-08-27T18:49:36.513972+00:00,joshua jacobs
34,Lamar Jackson,QB,,,,,espn,standard,38.7,,,2026-08-27T18:49:36.513972+00:00,lamar jackson
35,DeVonta Smith,WR,,,,,espn,standard,40.37,,,2026-08-27T18:49:36.513972+00:00,devonta smith
36,Zay Flowers,WR,,,,,espn,standard,40.91,,,2026-08-27T18:49:36.513972+00:00,zay flowers
37,Kyren Williams,RB,,,,,espn,standard,41.31,,,2026-08-27T18:49:36.513972+00:00,kyren williams
38,Tetairoa McMillan,WR,,,,,espn,standard,41.32,,,2026-08-27T18:49:36.513972+00:00,tetairoa mcmillan
39,Travis Etienne Jr.,RB,,,,,espn,standard,43.31,,,2026-08-27T18:49:36.513972+00:00,travis etienne
40,Cam Skattebo,RB,,,,,espn,standard,43.98,,,2026-08-27T18:49:36.513972+00:00,cameron skattebo
41,Colston Loveland,TE,,,,,espn,standard,44.97,,,2026-08-27T18:49:36.513972+00:00,colston loveland
42,Davante Adams,WR,,,,,espn,standard,45.82,,,2026-08-27T18:49:36.513972+00:00,davante adams
43,Drake Maye,QB,,,,,espn,standard,47.43,,,2026-08-27T18:49:36.513972+00:00,drake maye
44,Emeka Egbuka,WR,,,,,espn,standard,47.98,,,2026-08-27T18:49:36.513972+00:00,emeka egbuka
45,Ladd McConkey,WR,,,,,espn,standard,50.13,,,2026-08-27T18:49:36.513972+00:00,ladd mcconkey
46,Tyler Warren,TE,,,,,espn,standard,50.61,,,2026-08-27T18:49:36.513972+00:00,tyler warren
47,Jayden Daniels,QB,,,,,espn,standard,51.01,,,2026-08-27T18:49:36.513972+00:00,jayden daniels
48,Jalen Hurts,QB,,,,,espn,standard,51.19,,,2026-08-27T18:49:36.513972+00:00,jalen hurts
49,Bucky Irving,RB,,,,,espn,standard,53.21,,,2026-08-27T18:49:36.513972+00:00,bucky irving
50,Quinshon Judkins,RB,,,,,espn,standard,53.93,,,2026-08-27T18:49:36.513972+00:00,quinshon judkins
51,Tee Higgins,WR,,,,,espn,standard,55.06,,,2026-08-27T18:49:36.513972+00:00,tee higgins
52,Jaylen Waddle,WR,,,,,espn,standard,56.07,,,2026-08-27T18:49:36.513972+00:00,jaylen waddle
53,Joe Burrow,QB,,,,,espn,standard,58.6,,,2026-08-27T18:49:36.513972+00:00,joseph burrow
54,Terry McLaurin,WR,,,,,espn,standard,59.4,,,2026-08-27T18:49:36.513972+00:00,terry mclaurin
55,DJ Moore,WR,,,,,espn,standard,62.08,,,2026-08-27T18:49:36.513972+00:00,dj moore
56,D'Andre Swift,RB,,,,,espn,standard,63.49,,,2026-08-27T18:49:36.513972+00:00,dandre swift
57,Rome Odunze,WR,,,,,espn,standard,63.82,,,2026-08-27T18:49:36.513972+00:00,rome odunze
58,Kyle Pitts Sr.,TE,,,,,espn,standard,64.82,,,2026-08-27T18:49:36.513972+00:00,kyle pitts
59,Jameson Williams,WR,,,,,espn,standard,66.6,,,2026-08-27T18:49:36.513972+00:00,jameson williams
60,David Montgomery,RB,,,,,espn,standard,69.08,,,2026-08-27T18:49:36.513972+00:00,david montgomery
61,Sam LaPorta,TE,,,,,espn,standard,71.56,,,2026-08-27T18:49:36.513972+00:00,samuel laporta
62,Bhayshul Tuten,RB,,,,,espn,standard,71.8,,,2026-08-27T18:49:36.513972+00:00,bhayshul tuten
63,Harold Fannin Jr.,TE,,,,,espn,standard,74.96,,,2026-08-27T18:49:36.513972+00:00,harold fannin
64,Jadarian Price,RB,,,,,espn,standard,75.13,,,2026-08-27T18:49:36.513972+00:00,jadarian price
65,Jaxson Dart,QB,,,,,espn,standard,76.14,,,2026-08-27T18:49:36.513972+00:00,jaxson dart
66,Luther Burden III,WR,,,,,espn,standard,76.2,,,2026-08-27T18:49:36.513972+00:00,luther burden
67,Carnell Tate,WR,,,,,espn,standard,77.5,,,2026-08-27T18:49:36.513972+00:00,carnell tate
68,TreVeyon Henderson,RB,,,,,espn,standard,78.11,,,2026-08-27T18:49:36.513972+00:00,treveyon henderson
