adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,sleeper,half_ppr,1.6,,,2026-08-28T21:40:56.561990+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,sleeper,half_ppr,2.0,,,2026-08-28T21:40:56.561990+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,,,,sleeper,half_ppr,3.1,,,2026-08-28T21:40:56.561990+00:00,jamarr chase
4,Puka Nacua,WR,LAR,,,,sleeper,half_ppr,4.6,,,2026-08-28T21:40:56.561990+00:00,puka nacua
5,Christian McCaffrey,RB,SF,,,,sleeper,half_ppr,5.0,,,2026-08-28T21:40:56.561990+00:00,christian mccaffrey
6,Jonathan Taylor,RB,IND,,,,sleeper,half_ppr,5.5,,,2026-08-28T21:40:56.561990+00:00,jonathan taylor
7,Jaxon Smith-Njigba,WR,SEA,,,,sleeper,half_ppr,7.3,,,2026-08-28T21:40:56.561990+00:00,jaxon smithnjigba
8,Amon-Ra St. Brown,WR,DET,,,,sleeper,half_ppr,8.6,,,2026-08-28T21:40:56.561990+00:00,amonra st brown
9,James Cook,RB,BUF,,,,sleeper,half_ppr,9.7,,,2026-08-28T21:40:56.561990+00:00,james cook
10,CeeDee Lamb,WR,DAL,,,,sleeper,half_ppr,10.9,,,2026-08-28T21:40:56.561990+00:00,ceedee lamb
11,Saquon Barkley,RB,PHI,,,,sleeper,half_ppr,11.1,,,2026-08-28T21:40:56.561990+00:00,saquon barkley
12,Justin Jefferson,WR,MIN,,,,sleeper,half_ppr,11.8,,,2026-08-28T21:40:56.561990+00:00,justin jefferson
13,Ashton Jeanty,RB,LV,,,,sleeper,half_ppr,13.7,,,2026-08-28T21:40:56.561990+00:00,ashton jeanty
14,De'Von Achane,RB,MIA,,,,sleeper,half_ppr,14.7,,,2026-08-28T21:40:56.561990+00:00,devon achane
15,Omarion Hampton,RB,LAC,,,,sleeper,half_ppr,15.0,,,2026-08-28T21:40:56.561990+00:00,omarion hampton
16,Derrick Henry,RB,BAL,,,,sleeper,half_ppr,16.3,,,2026-08-28T21:40:56.561990+00:00,derrick henry
17,Chase Brown,RB,CIN,,,,sleeper,half_ppr,17.2,,,2026-08-28T21:40:56.561990+00:00,chase brown
18,Kenneth Walker,RB,KC,,,,sleeper,half_ppr,17.4,,,2026-08-28T21:40:56.561990+00:00,kenneth walker
19,A.J. Brown,WR,NE,,,,sleeper,half_ppr,19.2,,,2026-08-28T21:40:56.561990+00:00,aj brown
20,Josh Allen,QB,BUF,,,,sleeper,half_ppr,20.9,,,2026-08-28T21:40:56.561990+00:00,joshua allen
21,Drake London,WR,ATL,,,,sleeper,half_ppr,21.3,,,2026-08-28T21:40:56.561990+00:00,drake london
22,Brock Bowers,TE,LV,,,,sleeper,half_ppr,22.3,,,2026-08-28T21:40:56.561990+00:00,brock bowers
23,Trey McBride,TE,ARI,,,,sleeper,half_ppr,23.2,,,2026-08-28T21:40:56.561990+00:00,trey mcbride
24,Nico Collins,WR,HOU,,,,sleeper,half_ppr,23.2,,,2026-08-28T21:40:56.561990+00:00,nico collins
25,George Pickens,WR,DAL,,,,sleeper,half_ppr,25.2,,,2026-08-28T21:40:56.561990+00:00,george pickens
26,Kyren Williams,RB,LAR,,,,sleeper,half_ppr,26.0,,,2026-08-28T21:40:56.561990+00:00,kyren williams
27,Jeremiyah Love,RB,ARI,,,,sleeper,half_ppr,27.9,,,2026-08-28T21:40:56.561990+00:00,jeremiyah love
28,Josh Jacobs,RB,GB,,,,sleeper,half_ppr,28.5,,,2026-08-28T21:40:56.561990+00:00,joshua jacobs
29,Malik Nabers,WR,NYG,,,,sleeper,half_ppr,29.4,,,2026-08-28T21:40:56.561990+00:00,malik nabers
30,Rashee Rice,WR,KC,,,,sleeper,half_ppr,29.4,,,2026-08-28T21:40:56.561990+00:00,rashee rice
