adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
49,Quinshon Judkins,RB,CLE,,,,sleeper,half_ppr,49.8,,,2026-09-06T16:17:37.033843+00:00,quinshon judkins
50,Tyler Warren,TE,IND,,,,sleeper,half_ppr,50.2,,,2026-09-06T16:17:37.033843+00:00,tyler warren
51,Drake Maye,QB,NE,,,,sleeper,half_ppr,51.9,,,2026-09-06T16:17:37.033843+00:00,drake maye
52,DJ Moore,WR,BUF,,,,sleeper,half_ppr,52.7,,,2026-09-06T16:17:37.033843+00:00,dj moore
53,Joe Burrow,QB,CIN,,,,sleeper,half_ppr,53.2,,,2026-09-06T16:17:37.033843+00:00,joseph burrow
54,Terry McLaurin,WR,WAS,,,,sleeper,half_ppr,54.3,,,2026-09-06T16:17:37.033843+00:00,terry mclaurin
55,Davante Adams,WR,LAR,,,,sleeper,half_ppr,55.5,,,2026-09-06T16:17:37.033843+00:00,davante adams
56,Jadarian Price,RB,SEA,,,,sleeper,half_ppr,56.0,,,2026-09-06T16:17:37.033843+00:00,jadarian price
57,TreVeyon Henderson,RB,NE,,,,sleeper,half_ppr,57.3,,,2026-09-06T16:17:37.033843+00:00,treveyon henderson
58,Jameson Williams,WR,DET,,,,sleeper,half_ppr,58.4,,,2026-09-06T16:17:37.033843+00:00,jameson williams
59,Bhayshul Tuten,RB,JAX,,,,sleeper,half_ppr,59.2,,,2026-09-06T16:17:37.033843+00:00,bhayshul tuten
60,Luther Burden,WR,CHI,,,,sleeper,half_ppr,60.2,,,2026-09-06T16:17:37.033843+00:00,luther burden
61,Jalen Hurts,QB,PHI,,,,sleeper,half_ppr,61.1,,,2026-09-06T16:17:37.033843+00:00,jalen hurts
62,Mike Evans,WR,SF,,,,sleeper,half_ppr,62.5,,,2026-09-06T16:17:37.033843+00:00,michael evans
63,Rome Odunze,WR,CHI,,,,sleeper,half_ppr,63.4,,,2026-09-06T16:17:37.033843+00:00,rome odunze
64,Sam LaPorta,TE,DET,,,,sleeper,half_ppr,63.4,,,2026-09-06T16:17:37.033843+00:00,samuel laporta
65,Christian Watson,WR,GB,,,,sleeper,half_ppr,65.0,,,2026-09-06T16:17:37.033843+00:00,christian watson
66,Tucker Kraft,TE,GB,,,,sleeper,half_ppr,66.1,,,2026-09-06T16:17:37.033843+00:00,tucker kraft
67,Jaylen Warren,RB,PIT,,,,sleeper,half_ppr,67.6,,,2026-09-06T16:17:37.033843+00:00,jaylen warren
68,Carnell Tate,WR,TEN,,,,sleeper,half_ppr,68.0,,,2026-09-06T16:17:37.033843+00:00,carnell tate
69,Jayden Daniels,QB,WAS,,,,sleeper,half_ppr,69.9,,,2026-09-06T16:17:37.033843+00:00,jayden daniels
70,Parker Washington,WR,JAX,,,,sleeper,half_ppr,70.6,,,2026-09-06T16:17:37.033843+00:00,parker washington
71,Rhamondre Stevenson,RB,NE,,,,sleeper,half_ppr,71.3,,,2026-09-06T16:17:37.033843+00:00,rhamondre stevenson
