adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,sleeper,half_ppr,1.8,,,2026-08-31T17:35:22.644201+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,sleeper,half_ppr,2.8,,,2026-08-31T17:35:22.644201+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,,,,sleeper,half_ppr,3.8,,,2026-08-31T17:35:22.644201+00:00,jamarr chase
4,Christian McCaffrey,RB,SF,,,,sleeper,half_ppr,4.2,,,2026-08-31T17:35:22.644201+00:00,christian mccaffrey
5,Jonathan Taylor,RB,IND,,,,sleeper,half_ppr,5.0,,,2026-08-31T17:35:22.644201+00:00,jonathan taylor
6,Puka Nacua,WR,LAR,,,,sleeper,half_ppr,6.0,,,2026-08-31T17:35:22.644201+00:00,puka nacua
7,Amon-Ra St. Brown,WR,DET,,,,sleeper,half_ppr,7.6,,,2026-08-31T17:35:22.644201+00:00,amonra st brown
8,James Cook,RB,BUF,,,,sleeper,half_ppr,8.2,,,2026-08-31T17:35:22.644201+00:00,james cook
9,Jaxon Smith-Njigba,WR,SEA,,,,sleeper,half_ppr,8.7,,,2026-08-31T17:35:22.644201+00:00,jaxon smithnjigba
10,Saquon Barkley,RB,PHI,,,,sleeper,half_ppr,10.1,,,2026-08-31T17:35:22.644201+00:00,saquon barkley
11,CeeDee Lamb,WR,DAL,,,,sleeper,half_ppr,11.7,,,2026-08-31T17:35:22.644201+00:00,ceedee lamb
12,Justin Jefferson,WR,MIN,,,,sleeper,half_ppr,12.9,,,2026-08-31T17:35:22.644201+00:00,justin jefferson
13,De'Von Achane,RB,MIA,,,,sleeper,half_ppr,13.5,,,2026-08-31T17:35:22.644201+00:00,devon achane
14,Ashton Jeanty,RB,LV,,,,sleeper,half_ppr,14.2,,,2026-08-31T17:35:22.644201+00:00,ashton jeanty
15,Omarion Hampton,RB,LAC,,,,sleeper,half_ppr,15.6,,,2026-08-31T17:35:22.644201+00:00,omarion hampton
16,Derrick Henry,RB,BAL,,,,sleeper,half_ppr,16.6,,,2026-08-31T17:35:22.644201+00:00,derrick henry
17,Chase Brown,RB,CIN,,,,sleeper,half_ppr,17.6,,,2026-08-31T17:35:22.644201+00:00,chase brown
18,Kenneth Walker,RB,KC,,,,sleeper,half_ppr,17.6,,,2026-08-31T17:35:22.644201+00:00,kenneth walker
19,A.J. Brown,WR,NE,,,,sleeper,half_ppr,19.1,,,2026-08-31T17:35:22.644201+00:00,aj brown
20,Josh Allen,QB,BUF,,,,sleeper,half_ppr,20.7,,,2026-08-31T17:35:22.644201+00:00,joshua allen
21,Drake London,WR,ATL,,,,sleeper,half_ppr,21.0,,,2026-08-31T17:35:22.644201+00:00,drake london
22,Brock Bowers,TE,LV,,,,sleeper,half_ppr,22.0,,,2026-08-31T17:35:22.644201+00:00,brock bowers
23,Nico Collins,WR,HOU,,,,sleeper,half_ppr,23.2,,,2026-08-31T17:35:22.644201+00:00,nico collins
24,George Pickens,WR,DAL,,,,sleeper,half_ppr,24.1,,,2026-08-31T17:35:22.644201+00:00,george pickens
25,Kyren Williams,RB,LAR,,,,sleeper,half_ppr,25.2,,,2026-08-31T17:35:22.644201+00:00,kyren williams
26,Trey McBride,TE,ARI,,,,sleeper,half_ppr,26.0,,,2026-08-31T17:35:22.644201+00:00,trey mcbride
27,Jeremiyah Love,RB,ARI,,,,sleeper,half_ppr,26.8,,,2026-08-31T17:35:22.644201+00:00,jeremiyah love
28,Malik Nabers,WR,NYG,,,,sleeper,half_ppr,28.5,,,2026-08-31T17:35:22.644201+00:00,malik nabers
29,Rashee Rice,WR,KC,,,,sleeper,half_ppr,29.5,,,2026-08-31T17:35:22.644201+00:00,rashee rice
30,Chris Olave,WR,NO,,,,sleeper,half_ppr,30.8,,,2026-08-31T17:35:22.644201+00:00,christopher olave
31,Breece Hall,RB,NYJ,,,,sleeper,half_ppr,31.5,,,2026-08-31T17:35:22.644201+00:00,breece hall
32,Javonte Williams,RB,DAL,,,,sleeper,half_ppr,32.5,,,2026-08-31T17:35:22.644201+00:00,javonte williams
33,DeVonta Smith,WR,PHI,,,,sleeper,half_ppr,33.5,,,2026-08-31T17:35:22.644201+00:00,devonta smith
34,Josh Jacobs,RB,GB,,,,sleeper,half_ppr,34.6,,,2026-08-31T17:35:22.644201+00:00,joshua jacobs
35,Lamar Jackson,QB,BAL,,,,sleeper,half_ppr,35.2,,,2026-08-31T17:35:22.644201+00:00,lamar jackson
36,Tetairoa McMillan,WR,CAR,,,,sleeper,half_ppr,36.0,,,2026-08-31T17:35:22.644201+00:00,tetairoa mcmillan
37,Cam Skattebo,RB,NYG,,,,sleeper,half_ppr,37.4,,,2026-08-31T17:35:22.644201+00:00,cameron skattebo
38,Ladd McConkey,WR,LAC,,,,sleeper,half_ppr,38.1,,,2026-08-31T17:35:22.644201+00:00,ladd mcconkey
39,Tee Higgins,WR,CIN,,,,sleeper,half_ppr,39.2,,,2026-08-31T17:35:22.644201+00:00,tee higgins
40,Travis Etienne,RB,NO,,,,sleeper,half_ppr,40.7,,,2026-08-31T17:35:22.644201+00:00,travis etienne
41,Emeka Egbuka,WR,TB,,,,sleeper,half_ppr,41.2,,,2026-08-31T17:35:22.644201+00:00,emeka egbuka
42,Zay Flowers,WR,BAL,,,,sleeper,half_ppr,42.4,,,2026-08-31T17:35:22.644201+00:00,zay flowers
43,Colston Loveland,TE,CHI,,,,sleeper,half_ppr,43.5,,,2026-08-31T17:35:22.644201+00:00,colston loveland
44,David Montgomery,RB,HOU,,,,sleeper,half_ppr,44.1,,,2026-08-31T17:35:22.644201+00:00,david montgomery
45,Garrett Wilson,WR,NYJ,,,,sleeper,half_ppr,44.6,,,2026-08-31T17:35:22.644201+00:00,garrett wilson
46,Jaylen Waddle,WR,DEN,,,,sleeper,half_ppr,46.6,,,2026-08-31T17:35:22.644201+00:00,jaylen waddle
47,Bucky Irving,RB,TB,,,,sleeper,half_ppr,47.3,,,2026-08-31T17:35:22.644201+00:00,bucky irving
48,D'Andre Swift,RB,CHI,,,,sleeper,half_ppr,48.4,,,2026-08-31T17:35:22.644201+00:00,dandre swift
49,Quinshon Judkins,RB,CLE,,,,sleeper,half_ppr,49.0,,,2026-08-31T17:35:22.644201+00:00,quinshon judkins
50,Tyler Warren,TE,IND,,,,sleeper,half_ppr,50.9,,,2026-08-31T17:35:22.644201+00:00,tyler warren
51,Drake Maye,QB,NE,,,,sleeper,half_ppr,51.2,,,2026-08-31T17:35:22.644201+00:00,drake maye
52,DJ Moore,WR,BUF,,,,sleeper,half_ppr,52.3,,,2026-08-31T17:35:22.644201+00:00,dj moore
53,Terry McLaurin,WR,WAS,,,,sleeper,half_ppr,53.2,,,2026-08-31T17:35:22.644201+00:00,terry mclaurin
54,Joe Burrow,QB,CIN,,,,sleeper,half_ppr,53.4,,,2026-08-31T17:35:22.644201+00:00,joseph burrow
55,TreVeyon Henderson,RB,NE,,,,sleeper,half_ppr,55.0,,,2026-08-31T17:35:22.644201+00:00,treveyon henderson
56,Davante Adams,WR,LAR,,,,sleeper,half_ppr,56.3,,,2026-08-31T17:35:22.644201+00:00,davante adams
57,Jadarian Price,RB,SEA,,,,sleeper,half_ppr,57.4,,,2026-08-31T17:35:22.644201+00:00,jadarian price
58,Jameson Williams,WR,DET,,,,sleeper,half_ppr,58.7,,,2026-08-31T17:35:22.644201+00:00,jameson williams
59,Bhayshul Tuten,RB,JAX,,,,sleeper,half_ppr,59.6,,,2026-08-31T17:35:22.644201+00:00,bhayshul tuten
60,Luther Burden,WR,CHI,,,,sleeper,half_ppr,60.0,,,2026-08-31T17:35:22.644201+00:00,luther burden
61,Jalen Hurts,QB,PHI,,,,sleeper,half_ppr,61.0,,,2026-08-31T17:35:22.644201+00:00,jalen hurts
62,Mike Evans,WR,SF,,,,sleeper,half_ppr,62.1,,,2026-08-31T17:35:22.644201+00:00,michael evans
63,Rome Odunze,WR,CHI,,,,sleeper,half_ppr,62.6,,,2026-08-31T17:35:22.644201+00:00,rome odunze
64,Sam LaPorta,TE,DET,,,,sleeper,half_ppr,64.6,,,2026-08-31T17:35:22.644201+00:00,samuel laporta
65,Tucker Kraft,TE,GB,,,,sleeper,half_ppr,65.9,,,2026-08-31T17:35:22.644201+00:00,tucker kraft
66,Christian Watson,WR,GB,,,,sleeper,half_ppr,66.3,,,2026-08-31T17:35:22.644201+00:00,christian watson
67,Carnell Tate,WR,TEN,,,,sleeper,half_ppr,67.6,,,2026-08-31T17:35:22.644201+00:00,carnell tate
