adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,sleeper,half_ppr,1.9,,,2026-08-30T22:19:32.461761+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,sleeper,half_ppr,2.1,,,2026-08-30T22:19:32.461761+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,,,,sleeper,half_ppr,3.8,,,2026-08-30T22:19:32.461761+00:00,jamarr chase
4,Christian McCaffrey,RB,SF,,,,sleeper,half_ppr,4.7,,,2026-08-30T22:19:32.461761+00:00,christian mccaffrey
5,Puka Nacua,WR,LAR,,,,sleeper,half_ppr,5.7,,,2026-08-30T22:19:32.461761+00:00,puka nacua
6,Jonathan Taylor,RB,IND,,,,sleeper,half_ppr,6.2,,,2026-08-30T22:19:32.461761+00:00,jonathan taylor
7,Jaxon Smith-Njigba,WR,SEA,,,,sleeper,half_ppr,7.3,,,2026-08-30T22:19:32.461761+00:00,jaxon smithnjigba
8,Amon-Ra St. Brown,WR,DET,,,,sleeper,half_ppr,7.7,,,2026-08-30T22:19:32.461761+00:00,amonra st brown
9,James Cook,RB,BUF,,,,sleeper,half_ppr,9.6,,,2026-08-30T22:19:32.461761+00:00,james cook
10,Saquon Barkley,RB,PHI,,,,sleeper,half_ppr,10.8,,,2026-08-30T22:19:32.461761+00:00,saquon barkley
11,CeeDee Lamb,WR,DAL,,,,sleeper,half_ppr,11.0,,,2026-08-30T22:19:32.461761+00:00,ceedee lamb
12,Justin Jefferson,WR,MIN,,,,sleeper,half_ppr,12.8,,,2026-08-30T22:19:32.461761+00:00,justin jefferson
13,Ashton Jeanty,RB,LV,,,,sleeper,half_ppr,13.1,,,2026-08-30T22:19:32.461761+00:00,ashton jeanty
14,De'Von Achane,RB,MIA,,,,sleeper,half_ppr,14.6,,,2026-08-30T22:19:32.461761+00:00,devon achane
15,Omarion Hampton,RB,LAC,,,,sleeper,half_ppr,15.3,,,2026-08-30T22:19:32.461761+00:00,omarion hampton
16,Derrick Henry,RB,BAL,,,,sleeper,half_ppr,15.9,,,2026-08-30T22:19:32.461761+00:00,derrick henry
17,Chase Brown,RB,CIN,,,,sleeper,half_ppr,17.3,,,2026-08-30T22:19:32.461761+00:00,chase brown
18,Kenneth Walker,RB,KC,,,,sleeper,half_ppr,18.5,,,2026-08-30T22:19:32.461761+00:00,kenneth walker
