adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,ffc,ppr,1.5,0.7,2165.0,2026-08-28T21:40:54.637662+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,ffc,ppr,2.2,0.6,1237.0,2026-08-28T21:40:54.637662+00:00,bijan robinson
3,Puka Nacua,WR,LAR,,,,ffc,ppr,3.1,0.8,325.0,2026-08-28T21:40:54.637662+00:00,puka nacua
4,Ja'Marr Chase,WR,CIN,,,,ffc,ppr,3.8,1.0,2152.0,2026-08-28T21:40:54.637662+00:00,jamarr chase
5,Jaxon Smith-Njigba,WR,SEA,,,,ffc,ppr,5.5,1.1,1147.0,2026-08-28T21:40:54.637662+00:00,jaxon smithnjigba
6,Amon-Ra St. Brown,WR,DET,,,,ffc,ppr,6.4,1.3,1260.0,2026-08-28T21:40:54.637662+00:00,amonra st brown
7,Christian McCaffrey,RB,SF,,,,ffc,ppr,6.6,1.7,1750.0,2026-08-28T21:40:54.637662+00:00,christian mccaffrey
8,Jonathan Taylor,RB,IND,,,,ffc,ppr,7.5,1.7,2001.0,2026-08-28T21:40:54.637662+00:00,jonathan taylor
9,De'Von Achane,RB,MIA,,,,ffc,ppr,10.5,1.9,888.0,2026-08-28T21:40:54.637662+00:00,devon achane
10,CeeDee Lamb,WR,DAL,,,,ffc,ppr,10.6,1.9,1401.0,2026-08-28T21:40:54.637662+00:00,ceedee lamb
11,Drake London,WR,ATL,,,,ffc,ppr,10.6,2.0,319.0,2026-08-28T21:40:54.637662+00:00,drake london
12,Justin Jefferson,WR,MIN,,,,ffc,ppr,11.8,2.2,1534.0,2026-08-28T21:40:54.637662+00:00,justin jefferson
13,James Cook III,RB,BUF,,,,ffc,ppr,12.6,2.9,3163.0,2026-08-28T21:40:54.637662+00:00,james cook
14,Chase Brown,RB,CIN,,,,ffc,ppr,13.3,2.6,2036.0,2026-08-28T21:40:54.637662+00:00,chase brown
15,Rashee Rice,WR,KC,,,,ffc,ppr,14.9,2.3,261.0,2026-08-28T21:40:54.637662+00:00,rashee rice
16,Derrick Henry,RB,BAL,,,,ffc,ppr,17.3,2.7,1133.0,2026-08-28T21:40:54.637662+00:00,derrick henry
17,A.J. Brown,WR,NE,,,,ffc,ppr,17.6,3.1,1619.0,2026-08-28T21:40:54.637662+00:00,aj brown
18,Ashton Jeanty,RB,LV,,,,ffc,ppr,18.3,5.5,1183.0,2026-08-28T21:40:54.637662+00:00,ashton jeanty
19,Saquon Barkley,RB,PHI,,,,ffc,ppr,19.3,3.4,2963.0,2026-08-28T21:40:54.637662+00:00,saquon barkley
20,Chris Olave,WR,NO,,,,ffc,ppr,19.6,3.3,645.0,2026-08-28T21:40:54.637662+00:00,christopher olave
21,Nico Collins,WR,HOU,,,,ffc,ppr,20.5,2.9,881.0,2026-08-28T21:40:54.637662+00:00,nico collins
22,George Pickens,WR,DAL,,,,ffc,ppr,20.8,3.1,808.0,2026-08-28T21:40:54.637662+00:00,george pickens
23,Kenneth Walker,RB,KC,,,,ffc,ppr,21.5,4.1,2694.0,2026-08-28T21:40:54.637662+00:00,kenneth walker
24,Omarion Hampton,RB,LAC,,,,ffc,ppr,23.1,4.4,2401.0,2026-08-28T21:40:54.637662+00:00,omarion hampton
25,Garrett Wilson,WR,NYJ,,,,ffc,ppr,26.0,3.2,463.0,2026-08-28T21:40:54.637662+00:00,garrett wilson
26,Zay Flowers,WR,BAL,,,,ffc,ppr,26.5,3.5,509.0,2026-08-28T21:40:54.637662+00:00,zay flowers
27,Malik Nabers,WR,NYG,,,,ffc,ppr,26.7,3.4,1769.0,2026-08-28T21:40:54.637662+00:00,malik nabers
28,Jeremiyah Love,RB,ARI,,,,ffc,ppr,27.6,3.7,707.0,2026-08-28T21:40:54.637662+00:00,jeremiyah love
29,Trey McBride,TE,ARI,,,,ffc,ppr,29.1,4.5,1155.0,2026-08-28T21:40:54.637662+00:00,trey mcbride
30,DeVonta Smith,WR,PHI,,,,ffc,ppr,29.6,3.5,1496.0,2026-08-28T21:40:54.637662+00:00,devonta smith
31,Tetairoa McMillan,WR,CAR,,,,ffc,ppr,31.0,3.6,615.0,2026-08-28T21:40:54.637662+00:00,tetairoa mcmillan
32,Josh Jacobs,RB,GB,,,,ffc,ppr,31.3,3.6,734.0,2026-08-28T21:40:54.637662+00:00,joshua jacobs
33,Kyren Williams,RB,LAR,,,,ffc,ppr,31.9,4.2,1367.0,2026-08-28T21:40:54.637662+00:00,kyren williams
34,Josh Allen,QB,BUF,,,,ffc,ppr,33.6,9.3,1640.0,2026-08-28T21:40:54.637662+00:00,joshua allen
35,Breece Hall,RB,NYJ,,,,ffc,ppr,33.8,3.9,777.0,2026-08-28T21:40:54.637662+00:00,breece hall
36,Emeka Egbuka,WR,TB,,,,ffc,ppr,34.9,4.0,1869.0,2026-08-28T21:40:54.637662+00:00,emeka egbuka
37,Brock Bowers,TE,LV,,,,ffc,ppr,35.1,7.1,2739.0,2026-08-28T21:40:54.637662+00:00,brock bowers
38,Tee Higgins,WR,CIN,,,,ffc,ppr,36.6,4.9,1186.0,2026-08-28T21:40:54.637662+00:00,tee higgins
39,Javonte Williams,RB,DAL,,,,ffc,ppr,37.3,4.7,1663.0,2026-08-28T21:40:54.637662+00:00,javonte williams
40,Ladd McConkey,WR,LAC,,,,ffc,ppr,37.8,4.5,2524.0,2026-08-28T21:40:54.637662+00:00,ladd mcconkey
41,Travis Etienne Jr.,RB,NO,,,,ffc,ppr,38.1,5.1,897.0,2026-08-28T21:40:54.637662+00:00,travis etienne
42,Cam Skattebo,RB,NYG,,,,ffc,ppr,39.3,5.1,616.0,2026-08-28T21:40:54.637662+00:00,cameron skattebo
43,Davante Adams,WR,LAR,,,,ffc,ppr,42.2,4.5,950.0,2026-08-28T21:40:54.637662+00:00,davante adams
44,Jameson Williams,WR,DET,,,,ffc,ppr,44.5,4.7,585.0,2026-08-28T21:40:54.637662+00:00,jameson williams
45,Bucky Irving,RB,TB,,,,ffc,ppr,45.2,4.9,666.0,2026-08-28T21:40:54.637662+00:00,bucky irving
46,Jaylen Waddle,WR,DEN,,,,ffc,ppr,45.3,5.4,2525.0,2026-08-28T21:40:54.637662+00:00,jaylen waddle
47,D'Andre Swift,RB,CHI,,,,ffc,ppr,45.7,4.4,1262.0,2026-08-28T21:40:54.637662+00:00,dandre swift
48,Terry McLaurin,WR,WAS,,,,ffc,ppr,47.6,4.9,913.0,2026-08-28T21:40:54.637662+00:00,terry mclaurin
49,DJ Moore,WR,BUF,,,,ffc,ppr,48.0,6.2,2614.0,2026-08-28T21:40:54.637662+00:00,dj moore
50,Drake Maye,QB,NE,,,,ffc,ppr,50.4,7.7,472.0,2026-08-28T21:40:54.637662+00:00,drake maye
51,Quinshon Judkins,RB,CLE,,,,ffc,ppr,50.9,5.4,843.0,2026-08-28T21:40:54.637662+00:00,quinshon judkins
52,Bhayshul Tuten,RB,JAX,,,,ffc,ppr,52.8,5.4,1098.0,2026-08-28T21:40:54.637662+00:00,bhayshul tuten
53,Rome Odunze,WR,CHI,,,,ffc,ppr,53.9,5.8,1258.0,2026-08-28T21:40:54.637662+00:00,rome odunze
54,Mike Evans,WR,SF,,,,ffc,ppr,54.6,6.3,1019.0,2026-08-28T21:40:54.637662+00:00,michael evans
55,Luther Burden III,WR,CHI,,,,ffc,ppr,55.2,6.5,1225.0,2026-08-28T21:40:54.637662+00:00,luther burden
56,Colston Loveland,TE,CHI,,,,ffc,ppr,56.4,9.1,2234.0,2026-08-28T21:40:54.637662+00:00,colston loveland
57,Lamar Jackson,QB,BAL,,,,ffc,ppr,56.8,7.3,962.0,2026-08-28T21:40:54.637662+00:00,lamar jackson
58,Joe Burrow,QB,CIN,,,,ffc,ppr,57.2,7.8,718.0,2026-08-28T21:40:54.637662+00:00,joseph burrow
59,David Montgomery,RB,HOU,,,,ffc,ppr,57.9,6.1,1875.0,2026-08-28T21:40:54.637662+00:00,david montgomery
60,Christian Watson,WR,GB,,,,ffc,ppr,59.0,6.6,1917.0,2026-08-28T21:40:54.637662+00:00,christian watson
61,Jaylen Warren,RB,PIT,,,,ffc,ppr,60.1,6.2,300.0,2026-08-28T21:40:54.637662+00:00,jaylen warren
62,Courtland Sutton,WR,DEN,,,,ffc,ppr,60.7,6.7,747.0,2026-08-28T21:40:54.637662+00:00,courtland sutton
63,TreVeyon Henderson,RB,NE,,,,ffc,ppr,63.8,6.5,695.0,2026-08-28T21:40:54.637662+00:00,treveyon henderson
64,Parker Washington,WR,JAX,,,,ffc,ppr,63.8,7.5,2266.0,2026-08-28T21:40:54.637662+00:00,parker washington
65,Rhamondre Stevenson,RB,NE,,,,ffc,ppr,63.9,6.6,530.0,2026-08-28T21:40:54.637662+00:00,rhamondre stevenson
66,DK Metcalf,WR,PIT,,,,ffc,ppr,64.6,7.1,956.0,2026-08-28T21:40:54.637662+00:00,dk metcalf
67,Marvin Harrison Jr.,WR,ARI,,,,ffc,ppr,64.8,7.4,1215.0,2026-08-28T21:40:54.637662+00:00,marvin harrison
68,Tyler Warren,TE,IND,,,,ffc,ppr,65.2,8.8,1754.0,2026-08-28T21:40:54.637662+00:00,tyler warren
69,Dak Prescott,QB,DAL,,,,ffc,ppr,65.5,8.3,634.0,2026-08-28T21:40:54.637662+00:00,dak prescott
70,Alec Pierce,WR,IND,,,,ffc,ppr,69.5,6.9,642.0,2026-08-28T21:40:54.637662+00:00,alec pierce
71,Tony Pollard,RB,TEN,,,,ffc,ppr,70.1,6.4,468.0,2026-08-28T21:40:54.637662+00:00,anthony pollard
72,Jayden Daniels,QB,WAS,,,,ffc,ppr,71.8,10.9,628.0,2026-08-28T21:40:54.637662+00:00,jayden daniels
73,Brian Thomas Jr.,WR,JAX,,,,ffc,ppr,72.6,7.5,1170.0,2026-08-28T21:40:54.637662+00:00,brian thomas
74,Jadarian Price,RB,SEA,,,,ffc,ppr,74.7,10.4,3321.0,2026-08-28T21:40:54.637662+00:00,jadarian price
75,Michael Pittman Jr.,WR,PIT,,,,ffc,ppr,74.9,7.5,996.0,2026-08-28T21:40:54.637662+00:00,michael pittman
